"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-18","coating","Electrocoat Dip Tank","","","","","CE-18"
"EU-19","coating","Electrocoat Cure Oven","","","","","CE-19"
"EU-20.1","powder coating","Powdercoat Paint Booth #1","31","lb/hr","","","CE-20.1"
"EU-20.2","powder coating","Powdercoat Paint Booth #2","31","lb/hr","","","CE-20.2"
"EU-20.3","coating","Powdercoat Cure Oven","1420","MMBtu/hr","","","CE-20.3"
"EU-23","cooling","Metal Paint Oven Cooling Tunnel","13000","scfm","","","CE-23"
"EU-29","other","Welding Cell","","","","","CE-29"
"EU-45","fugitive emissions","Unpaved Roads (Fugitive)","0.55","VMT/hr","","",""
"EU-47","burning","Paint Burn-Off Oven #2","625","MMBtu/hr","","","CE-47"
"EU-58","powder coating","Powdercoat Paint Booth #3","31","lb/hr","","","CE-58"
"EU-6","spray painting","Spray Paint Booth #0","","","","","CE-6"
"EU-62","sanding","Sanding Booth","250","parts/day","","","CE-62"
"EU-63","coating","Primer Booth","15.8","gal/hr","","","CE-63"
"EU-64","coating","Base Coat #1 Booth","15.8","gal/hr","","","CE-64"
"EU-65","coating","Base Coat #2 Booth","15.8","gal/hr","","","CE-65"
"EU-66","coating","Clear Coat #1 Booth","15.8","gal/hr","","","CE-66"
"EU-67","coating","Clear Coat #2 Booth","15.8","gal/hr","","","CE-67"
"EU-68","coating","Clear Coat #3 Booth","15.8","gal/hr","","","CE-68"
"EU-71","coating","Dry-off Oven","3400","°F/hr","","","CE-71"
"EU-72.1","coating","Cure Oven (Part 1)","3400","°F/hr","","","CE-72.1"
"EU-72.2","coating","Cure Oven (Part 2)","3400","°F/hr","","","CE-72.2"
"EU-72B","coating","Cure Oven (Backup)","3400","°F/hr","","","CE-72B"
"EU-73","heating","Parts Washer Heater","1400","°F/hr","","","CE-73"
"EU-74","boiler","Spray Booth Boiler (Primary)","625","MMBtu/hr","","","CE-74"
"EU-74.1","boiler","Spray Booth Boiler (Primary)","625","MMBtu/hr","","","CE-74.1"
"EU-74.2","boiler","Spray Booth Boiler (Backup)","625","MMBtu/hr","","","CE-74.2"
"EU-74B","boiler","Spray Booth Boiler (Backup)","625","MMBtu/hr","","","CE-74B"
"EU-75","heating","Flash Enclosure Heater","1400","°F/hr","","","CE-75"
"EU-76","blasting","Automated Abrasive Blasting Unit","23400","lb/hr","","","CE-76"
