"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU1","coating","Electrodeposition Coating Oven, Line #1","","","","","CE 3"
"EU14","emergency generator","Line 2 Emergency Generator (Natural Gas, 110 bhp)","110","bhp","","","CE-5"
"EU14 and EU15","emergency generator","Line 2/3 Emergency Generator (Natural Gas, 110 bhp)","110","bhp","","","CE-16"
"EU15","emergency generator","Line 3 Emergency Generator (Natural Gas, 110 bhp)","110","bhp","","","CE-5"
"EU19 and EU20","coating","Line 3 Paint Kitchen","","","","","CE-14"
"EU19 & EU20","coating","Line 3 Paint Kitchen","","","","","CE-5"
"EU1A","coating","Electrodeposition Coating Oven, Line #1 (Natural Gas)","6.7","MMBtu/hr","","","CE 3"
"EU1 and EU1A","coating","Electrodeposition Coating Oven, Line #1","","","11.73","gallons/hr","CE-3"
"EU2","coating","Spray Booth Coating Line/Oven #2","","","","","CE 3"
"EU2A","coating","Spray Booth Coating Line/Oven #2 (Natural Gas)","6.7","MMBtu/hr","","","CE 3"
"EU2 and EU2A","coating","Spray Booth Coating Line/Oven #2","","","11.73","gallons/hr","CE-5"
"EU2C and EU2D","coating","Top Coat Spray Booth, Line 2","1.04","gallons/hr","","","CE-12"
"EU2C & EU2D","coating","Top Coat Spray Booth, Line 2","1.04","gallons/hr","","","DF 2"
"EU2E","coating","Flash Off Area, Line 2","2.08","gallons/hr","","","CE-13"
"EU2F/EU2G and EU2H","coating","Line 2 Spray Booth 2","7","gallons/hr","","","CE-15"
"EU3","coating","Primer Spray Booth, Line #3","0.48","gallons/hr","","","CE 3"
"EU3A","coating","Primer Flash-Off Area, Line #3","660","feet/hr (gallons/hr)","","","CE 5"
"EU3 and EU3A","coating","Primer Spray Booth, Line #3","0.48","gallons/hr","","","CE-7"
"EU3B","coating","Top Coat Spray Booth, Line #3","2.91","gallons/hr","","","CE-5"
"EU3B and EU3C","coating","Top Coat Spray Booth, Line #3","2.91","gallons/hr","","","CE-8"
"EU3C","coating","Top Coat Flash-Off Area, Line #3","660","feet/hr (gallons/hr)","","","CE-5"
"EU3D","coating","Spray Booths Curing Oven, Line #3","5.6","MMBtu/hr","","","CE-5"
"EU3D and EU3E","coating","Spray Booths Curing Oven, Line #3","5.6","MMBtu/hr","","","CE-9"
"EU4","coating","Touch-Up Spray Paint Area, Line #1 – Emissions vented inside building","2.34","gallons/hr","","","CE-10"
"EU5","boiler","Natural Gas-Fired Boiler (12.5 MMBtu/hr)","12.5","MMBtu/hr","","","CE-11"
