"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-001","boiler","Generator #2, Caterpillar Model 3516 Dita, Diesel","","","126.8","gal/hr","CE-001"
"EU-002","boiler","Generator #3, Caterpillar Model 3516 Dita, Diesel","","","126.8","gal/hr","CE-002"
"EU-003","boiler","Generator #4, Caterpillar Model 3516 Dita, Diesel","","","126.8","gal/hr","CE-003"
"EU-004","boiler","Generator #5, Caterpillar Model 3516 Dita, Diesel","","","126.8","gal/hr","CE-004"
"EU-005","boiler","Generator #7, Caterpillar Model 3516 Dita, Diesel","","","126.8","gal/hr","CE-005"
"EU-006","boiler","Generator #8, Caterpillar Model 3516 Dita, Diesel","","","126.8","gal/hr","CE-006"
"EU-007","boiler","Boiler #1, Cleaver Brooks Model L-79109, Natural Gas/Diesel","14.65","MMBtu/hr","","","CE-007"
"EU-008","boiler","Boiler #2, Cleaver Brooks Model L-79108, Natural Gas/Diesel","14.65","MMBtu/hr","","","CE-008"
"EU-009","boiler","Boiler #3, Cleaver Brooks Model L-79794, Natural Gas/Diesel","6.277","MMBtu/hr","","","CE-009"
"EU-010A","boiler","John Deere Model 6068HF285K Fire Pump, Diesel","237","bhp","","","CE-010A"
"EU-011","boiler","Corporate 2 Emergency Generator, Caterpillar Model 3508, Diesel","8.8","MMBtu/hr","","","CE-011"
"EU-014A","boiler","Corporate 1 Emergency Generator, Cummins Model DQFAS, Diesel","1112","kW","","","CE-014A"
"EU-018","boiler","Corporate 4 Generator, Cummins-Onan Model 0754 Modified D28 KTTA50-G2, Diesel","5.64686","MMBtu/hr","","","CE-018"
"EU-019","boiler","Corporate 3 Emergency Generator, Ford Model LSGD8751, Natural Gas","","","","","CE-019"
"EU-020","storage tank","Underground Storage Tank, 25,000 Gallon, Diesel","","","907500","gallons/yr","CE-020"
"EU-021","storage tank","Underground Storage Tank, 20,000 Gallon, Diesel","","","387400","gallons/yr","CE-021"
"EU-024","boiler","801 Grand Emergency Generator, Kato-Waukesha Model L6670, Diesel","","","126.8","gal/hr","CE-024"
"EU-028","boiler","701 Park Street Parking Ramp Emergency Generator, Caterpillar Model D125-6, Diesel","10.7","gallons/hr","","","CE-028"
