"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"A01","handling","Elevator D Grain Handling System","250","tph","","","CEA01"
"A07","handling","Elevator A Hull Handling System","20","tph","","","CEA07"
"A13","handling","Elevator G Grain Handling System","360","tph","","","CEA13"
"A17","handling","Elevator G Grain Handling System","360","tph","","","CEA17"
"A18","handling","Elevator G Grain Handling System","360","tph","","","CEA18"
"A21","handling","Elevator G Grain Handling System","410","tph","","","CEA21"
"A37","handling","Elevator G Grain Handling System","360","tph","","","CEA37"
"A38","handling","Elevator G Grain Handling System","360","tph","","","CEA38"
"A39","handling","Elevator E/F Grain Handling System","250","tph","","","CEA39"
"A41","handling","Elevator G Basement Grain Handling System","","","","","CEA41"
"A42","grain_handling","Grain Handling System A with Fabric Filter Low","360","tph","","","CEA42A, CEA42B"
"A43","grain_handling","Grain Handling System B with Fabric Filter Low","360","tph","","","CEA43A, CEA43B"
"A44","grain_handling","Elevator G Basement Grain Handling System B with Baghouse","15","tph","","","CEA44"
"A71","grain_handling","Elevator A Bin Top & Bridge with Fabric Filter Low","410","tph","","","CEA71"
"A72","grain_handling","Elevator C Bin #3 (Northstar) Bottom; Bin #41 Top & Bottom with Fabric Filter Low","410","tph","","","CEA72"
"B04","baghouses","Corn Mill Cleaning House Process Baghouse","","","","","KICE M120-10"
"B07","fabric filter dust collector","Corn Mill Trim Cutter Paper Fabric Filter","40","ton/yr","","","CEB07"
"B08","baghouses","Corn Milling Process A, Mill A Baghouse","","","","","MAC 120AV341"
"B09","fabric filter dust collector","Corn Mill A General Fabric Filter","35","tph","70000","lb/hr","CEB09"
"B24","baghouses","Corn Milling Process Baghouse","","","","","not specified"
"B25","fabric filter dust collector","Corn Milling Process A & B, Mill B Fabric Filter","15","tph","","","CEB25"
"B26","fabric filter dust collector","Corn Milling Process A & B, Mill B Fabric Filter","15","tph","","","CEB26"
"B27","dust collector","Corn Milling Process A&B, Grits Processing Line Dust Collector","5850","lb/hr (wet basis)","","","B27"
"B28","dust collector","Corn Milling Process A&B, Grits Processing Line Dust Collector","5850","lb/hr (wet basis)","","","B28"
"B29","dust collector","Grits Drum Dryers #1-4 Exhaust Dust Collector","5850","lb/hr (wet basis)","","","B29"
"B30","dust collector","Grits Drum Dryers #5-8 Exhaust Dust Collector","5850","lb/hr (wet basis)","","","B30"
"B31","drying","Cooked Grits Dust Fabric Filter","","","5850","lb/hr (wet basis)","CEB31"
"B33","drying","Corn Mill B, Finished Product Dryer","15","tph","","","CEB33"
"B36","drying","Corn Mill Dry Mix Fabric Filter","4.4","tph","","","CEB36"
"D01, D02","drying","Primary Oat Aspiration #1 and #2 with Fabric Filters","15.4","tph","","","CED01, CED02"
"D04","aspiration","Oat aspiration system #3","","","15.4","tph","CED04"
"D05","aspiration","Oat aspiration system #2","","","15.4","tph","CED05"
"D08","dryer","Oat dryer/cooler #2","8","tph","","","CED08"
"D09","dryer","Oat dryer/cooler #3","8","tph","","","CED09"
"D10","dryer","Oat dryer/cooler #4","8","tph","","","CED10"
"D11","dryer","Oat dryer/cooler #5","8","tph","","","CED11"
"D12","dryer","Oat dryer/cooler #6","8","tph","","","CED12"
"D13","dryer","Oat dryer/cooler #7","8","tph","","","CED13"
"D14","fabric filter","Oat cleaning process system","65","tph","","","CED14"
"D15","aspiration","Oat aspiration system #1","15.4","tph","","","CED15"
"D16","aspiration","Oat aspiration system #2","15.4","tph","","","CED16"
"D17","packaging","Oats Transfer / Fabric Filter","","","","","CED17"
"D18","packaging","Secondary Large Oat Fabric Filter","15.4","tph","","","CED18"
"D19","packaging","Primary Stub Oat Fabric Filter","15.4","tph","","","CED19"
"D20","packaging","Secondary Stub Oat Fabric Filter","15.4","tph","","","CED20"
"D25","packaging","CH2 General Dust Fabric Filter","2.5","tph","","","CED25"
"D26","packaging","CH2 Grading Gravity Fabric Filter","2.5","tph per table","","","CED26"
"D27","packaging","Oat Bran Flour Bin-Fabric Filter","5","tph","","","CED27"
"D29","other","Not explicitly stated, but likely a fabric filter based on context","","","","","CE D29A, CE D29B"
"D30","packaging","Oat Flour Bliss Mill Fabric Filter","4","tph","","","CED30"
"D31","packaging","Oat Flour Filter Fabric Filter","4","tph","","","CED31"
"D32","packaging","Oat Flour Bliss Mill Fabric Filter","4","tph","","","CED32"
"D33","packaging","Oat Flour Filter Fabric Filter","4","tph","","","CED33"
"D47","fabric_filter","Fabric Filter for Oats Processing","","","11.4","tph","CED47A, CED47B"
"D49","fabric_filter","Fabric Filter for Oats Grading","","","15","tph","CED49A, CED49B"
"D50","fabric_filter","Fabric Filter for Oat Cleaning (Process System H)","65","tph","","","CED50A, CED50B"
"D51","fabric_filter","Fabric Filter for Oat Cleaning (Process System I)","65","tph","","","CED51A, CED51B"
"D52","fabric_filter","Fabric Filter for Oat Cleaning (Process System J)","65","tph","","","CED52A, CED52B"
"D53","fabric_filter","Fabric Filter for Oat Pro Processing (System)","0.5","tph","","","CED53A, CED53B"
"D60","fabric_filter","Fabric Filter for Hulls (Receiver #1)","13.25","tph","","","CED60"
"D61","fabric_filter","Fabric Filter for Hulls (Receiver #2)","13.25","tph","","","CED61"
"D62","fabric_filter","Fabric Filter for 300V Gravity Table Hulls (25 tph)","25","tph","","","CED62"
"D63","fabric_filter","Aspiration Filter for Hulls (Light Oats Primary)","12.25","tph","","","CED63"
"D64","fabric_filter","Aspiration Filter for Hulls (Light Oats Secondary)","8.45","tph","","","CED64"
"D65","fabric_filter","Filter Receiver for Hulls (3.8 tph)","3.8","tph","","","CED65"
"D66","fabric_filter","90V Gravity Table Hulls (6.5 tph)","6.5","tph","","","CED66"
"D67","fabric_filter","Aspiration Filter for Hulls (Heavy Oats Primary)","13","tph","","","CED67"
"D68","fabric_filter","Secondary Aspiration Filter for Hulls (15 tph)","15","tph","","","CED68"
"D69","fabric_filter","Filter Receiver for Hulls (4 tph)","4","tph","","","CED69"
"D71","fabric_filter","Aspiration Filter for Hulls (9 tph)","9","tph","","","CED71"
"D72","fabric_filter","Hulls (6.5 tph) Gravity Table (B Grade)","6.5","tph","","","CED72"
"D73","fabric_filter","Supply Cyclone Hulls (1.5 tph)","1.5","tph","","","CED73"
"D74","fabric_filter","Fabric Filter for Hulls (General Dust Collection #1)","26.5","tph","","","CED74"
"D75","fabric_filter","Fabric Filter for Hulls (General Dust Collection #2)","26.5","tph","","","CED75"
"D76","fabric_filter","Fabric Filter for Hulls (General Sanitation Vacuum System)","26.5","tph","","","CED76"
"D77A","fabric_filter","Aspiration Filter for Hulls (4.5 tph) Gravity Table (CH#3 Grading)","4.5","tph","","","CED77A"
"D77B","fabric_filter","Oats (2.5 tph) Gravity Table (CH#3 Grading)","2.5","tph","","","CED77B"
"D78","fabric_filter","Fabric Filter Receiver for Oats Transfer","","","","","CED78"
"D79","fabric_filter","Fabric Filter Receiver for Oats Transfer","","","","","CED79"
"E42","fabric_filter","Fabric Filter Receiver for Oat Hulls Loadout System","25","tph","","","CEE42"
"E43","fabric_filter","Fabric Filter Receiver for Oat Hulls Loadout System","25","tph","","","CEE43"
"EUA01","other","Grain Handling System","","","","",""
"EUA07","other","Hull Transfer System","","","","",""
"EUA13","other","Transfer / Conveying System","","","","",""
"EUA17","other","Grain Unloading & Transfer System A","","","","",""
"EUA18","other","Grain Unloading & Transfer System B","","","","",""
"EUA21","other","Transfer / Conveying System A","","","","",""
"EUA25","other","Aeration Bin 124","","","","",""
"EUA26","other","Aeration Bin 126","","","","",""
"EUA27","other","Aeration Bin 128","","","","",""
"EUA28","other","Aeration Bin 130","","","","",""
"EUA29","other","Aeration Bin 132","","","","",""
"EUA30","other","Aeration Bin 134","","","","",""
"EUA31","other","Aeration Bin 158","","","","",""
"EUA32","other","Aeration Bin 160","","","","",""
"EUA33","other","Aeration Bin 162","","","","",""
"EUA34","other","Aeration Bin 164","","","","",""
"EUA37","other","Grain Cleaning & Elevator Legs","","","","",""
"EUA38","other","Bin Top Grain Handling System A","","","","",""
"EUA39","other","Grain Handling System","","","","",""
"EUA40","other","Screenings Storage Bin, CH #1","","","","",""
"EUA41","other","Basement Grain Handling System A","","","","",""
"EUA42","other","Bin Top Grain Handling System B","","","","",""
"EUA43","other","Basement Grain Handling System A","","","","",""
"EUA44","other","Basement Grain Handling System B","","","","",""
"EUA45","other","Aeration Bin 58","","","","",""
"EUA46","other","Aeration Bin 60","","","","",""
"EUA47","other","Aeration Bin 62","","","","",""
"EUA48","other","Aeration Bin 64","","","","",""
"EUA49","other","Aeration Bin 66","","","","",""
"EUA50","other","Aeration Bin 68","","","","",""
"EUA51","other","Aeration Bin 78","","","","",""
"EUA52","other","Aeration Bin 80","","","","",""
"EUA53","other","Aeration Bin 82","","","","",""
"EUA54","other","Aeration Bin 84","","","","",""
"EUA55","other","Aeration Bin 86","","","","",""
"EUA56","other","Aeration Bin 88","","","","",""
"EUA57","other","Aeration Bin 90","","","","",""
"EUA58","other","Aeration Bin 92","","","","",""
"EUA59","other","Aeration Bin 102","","","","",""
"EUA60","other","Aeration Bin 104","","","","",""
"EUA61","other","Aeration Bin 106","","","","",""
"EUA62","other","Aeration Bin 108","","","","",""
"EUA63","other","Aeration Bin 110","","","","",""
"EUA64","other","Aeration Bin 112","","","","",""
"EUA65","other","Aeration Bin 114","","","","",""
"EUA66","other","Aeration Bin 116","","","","",""
"EUA67","other","Aeration Bin 136","","","","",""
"EUA68","other","Aeration Bin 138","","","","",""
"EUB04","other","Corn Mills Cleaning House Process","","","","",""
"EUB07","other","#3 PMC Trim Cutter","","","","",""
"EUB08","other","Corn Milling Process A, Mill A","","","","",""
"EUB09","other","Corn Mill A General Process Dust Filter","","","","",""
"EUB10A","other","Corn Milling Process C, Mill A","","","","",""
"EUB10B","other","Snack Grits","","","","",""
"EUB11","other","Snack Grits Gravity Table","","","","",""
"EUB22","other","Bran Grinder System, Corn Mill","","","","",""
"EUB24","other","Corn Mill Fine Grinder","","","","",""
"EUB25","other","Corn Milling Process A & B, Mill B","","","","",""
"EUB26","other","Corn Milling Mill A, Grit & Germ Separation","","","","",""
"EUB27","other","Corn Mill A Flour Grinder I Exhaust","","","","",""
"EUB28","other","Corn Mill A Flour Grinder II Exhaust","","","","",""
"EUB29","other","Grits Drum Dryers #1-4 Exhaust","","","","",""
"EUB30","other","Grits Drum Dryers #5-8 Exhaust","","","","",""
"EUB31","other","Cooked Grits Dust Collection Exhaust","","","","",""
"EUB33","other","Corn Mill B, Finished Product Dryer","","","","",""
"EUB34","other","Corn Milling Process C, Mill B","","","","",""
"EUB35","other","Corn Mill A & B Hominy System Grinder","","","","",""
"EUB36","other","Corn Mill Dry Mix Hopper","","","","",""
"EUD01","other","Primary Large Oat Aspiration #1","","","","",""
"EUD02","other","Primary Large Oat Aspiration #2","","","","",""
"EUD03","other","Oat Cleaning Process System A","","","","",""
"EUD04","other","Primary Large Oat Aspiration #3","","","","",""
"EUD05","other","General Dust Collection","","","","",""
"EUD06","other","Oats Dryer / Cooler #1","","","","",""
"EUD07","other","Oat Cleaning Process System C","","","","",""
"EUD08","other","Oats Dryer / Cooler #2","","","","",""
"EUD09","other","Oats Dryer / Cooler #3","","","","",""
"EUD10","other","Oats Dryer / Cooler #4","","","","",""
"EUD11","other","Oats Dryer / Cooler #5","","","","",""
"EUD12","other","Oats Dryer / Cooler #6","","","","",""
"EUD13","other","Oats Dryer / Cooler #7","","","","",""
"EUD14","other","Oat Cleaning Process System D","","","","",""
"EUD15","other","Secondary Large Oat Aspiration #1","","","","",""
"EUD16","other","Secondary Large Oat Aspiration #2","","","","",""
"EUD17","other","Oats Transfer / Packaging System A","170","tons/hour","","",""
"EUD18","other","Secondary Large Oat Aspiration #3","","","","",""
"EUD19","other","Primary Stub Oat Aspiration","","","","",""
"EUD20","other","Secondary Stub Oat Aspiration","","","","",""
"EUD21","other","Oat Rolling and Transfer System A","5176","tons/hour","","",""
"EUD23","other","Elevator C, Bin #3 Airlock","","","170","tons/hour",""
"EUD24","other","Pneumatic Transfer System – Steel Cut Oats","","","7123","tons/hour",""
"EUD25","other","CH2 General Dust Collection","","","","",""
"EUD26","other","CH2 Grading Gravity Tables (2)","5922","tons/hour","","",""
