"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"1.00","paint booth","JBI Model T-34-PDT Paint Booth, 1849 Modified with Dry Filters","","","54000","gallons/yr","1.00"
"10.00","oven","Drying Oven, Natural Gas fired (5.3 MMBtu/hr)","5.3","MMBtu/hr","","","10.00"
"11.00","paint booth","Custom Built Paint Booth, 2298 Modified (11A, 11B, 11C, 11D with Dry Filters)","","","54000","gallons/yr","11.00"
"12.00","paint booth","Custom Built Paint Booth, 2299 Modified (12A, 12B, 12C, 12D with Dry Filters)","","","54000","gallons/yr","12.00"
"13.00F","welding equipment","Production Welding, 2580","","","1000000","lbs/yr","13.00F"
"2.00","oven","CCI Thermal Technologies Cure Oven, 1603","972","MBtu/hr","","","2.01"
"3.00","parts washer","Col-Met Parts Washer, 1853 Modified #2","27360","gallons/hr","","","3.00"
"4.00","paint booth","Col-Met Model EPD-1210-10-PDT Paint Booth, 1850 Modified with Dry Filters","","","43200","gallons/yr","4.00"
"5.00","paint booth","Col-Met Model EPD-1210-10-PDT Paint Booth, 1851 Modified with Dry Filters","","","43200","gallons/yr","5.00"
"6.00","oven","Dry Off Oven, Natural Gas fired (0.97 MMBtu/hr)","0.97","MMBtu/hr","","","6.00"
"7.00","oven","Cure Oven, Natural Gas fired (1.12 MMBtu/hr)","1.12","MMBtu/hr","","","7.00"
"8.00","sanding equipment","Rework Sanding Rail Car – hand sanders, 1848 Modified #2 with Donaldson DF02-8 Cartridge Filter","","","","","8.00"
"9.00","parts washer","Parts Washer, 2297 Modified #3","90000","gallons/hr","","","9.00"
