"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"1.1","fermentation","Trade Fermenter 1","5990","lb/hr","","","ME01.1"
"1.2","fermentation","Trade Fermenter 2","5990","lb/hr","","","ME01.2"
"1.3","fermentation","Trade Fermenter 3","5990","lb/hr","","","ME01.3"
"1.4","fermentation","Trade Fermenter 4","5990","lb/hr","","","ME01.4"
"1.5","fermentation","Trade Fermenter 5","5990","lb/hr","","","ME01.5"
"1.6","fermentation","Trade Fermenter 6","5990","lb/hr","","","ME01.6"
"1.7","fermentation","Trade Fermenter 7","5990","lb/hr","","","ME01.7"
"1.8","fermentation","Trade Fermenter 8","5990","lb/hr","","","ME01.8"
"2.1","fermentation","Stock Fermenter 1","2000","lb/hr","","","ME02.1"
"39.10-39.17","cooling","Cooling Tower Cells 10-17","","","","","Drift Eliminator"
"60.1-60.2","other","Emergency Generators 1 and 2","","","","","Non-resettable Hour Meter"
