"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","spray painting","Spray Painting","9.0","gal/hr","","","CE-1, CE-7"
"EU-10","curing oven","Paint Curing Oven","1.0","MMBTU/hr","","","CE-32, CE-33"
"EU-12","storage","Hazardous Waste Storage Room","51","lb/hr","","","CE-34, CE-35"
"EU-13","sandblasting","Sandblasting","","","","","CE-36, CE-37"
"EU-15","heating","Heater Units","","","","","CE-38, CE-39"
"EU-16","bake oven","Bake Oven","15","lb/hr powder coating","","","CE-40, CE-41"
"EU-17","curing oven","Curing Oven for Liquid and Powder Coating","15.0","lb/hr powder coating","","","CE-34, CE-35"
"EU-19","spray painting","Paint Spray Booth","9.0","gal/hr","","","CE-44, CE-45"
"EU-3","spray painting","Spray Painting","9.0","gal/hr","","","CE-14, CE-16"
"EU-4","spray painting","Spray Painting","9.0","gal/hr","","","CE-18, CE-19"
"EU-5","spray painting","Spray Painting","9.0","gal/hr","","","CE-20, CE-21"
"EU-6","spray painting","Spray Painting","9.0","gal/hr","","","CE-22, CE-23"
"EU-7","spray painting","Spray Painting","9.0","gal/hr","","","CE-24, CE-25"
"EU-8","spray painting","Spray Painting","9.0","gal/hr","","","CE-26, CE-27"
"EU-9","spray painting","Paint Booth","9.0","gal/hr","","","CE-28, CE-29"
