"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01","boilers","Natural Gas Boiler (1.674 MMBtu/hr)","1.674","MMBtu/hr","","","CE-01"
"EU-02","boilers","Natural Gas Boiler (1.674 MMBtu/hr)","1.674","MMBtu/hr","","","CE-02"
"EU-03","boilers","Natural Gas or Propane Boiler (4.184 MMBtu/hr)","4.184","MMBtu/hr","","","CE-03"
"EU-04","boilers","Natural Gas or Propane Boiler (4.184 MMBtu/hr)","4.184","MMBtu/hr","","","CE-04"
"EU-05","boilers","Natural Gas or Propane Boiler (4.184 MMBtu/hr)","4.184","MMBtu/hr","","","CE-05"
"EU-06","boilers","Natural Gas or Propane Boiler (4.184 MMBtu/hr)","4.184","MMBtu/hr","","","CE-06"
"EU-07A","storage","Paint Dip Tank (Primer)","","","4.11","gal/hr","CE-07A"
"EU-07B","storage","Paint Dip Tank (Solvent)","","","2.58","gal/hr","CE-07B"
"EU-08","other","Paint Spray Gun","","","4.53","gal/hr","CE-08"
"EU-09","welders","MIG Hand Welding","28.33","lb/hr","","",""
"EU-10","welders","Conrac Welder","19.43","lb/hr","","",""
"EU-11","welders","Web and Flange Welders (3)","5.73","lb/hr","","",""
"EU-12","welders","Tack Welding (3)","5.73","lb/hr","","",""
"EU-13","welders","Tack Welding (3)","5.73","lb/hr","","",""
"EU-14","other","Vanishing Oil Application","0.48","gal/hr","","","CE-14"
"EU-17","other","Haul Roads (Fugitive)","5345","VMT/yr","","","CE-17"
"EU-18","other","Haul Roads (Fugitive)","5345","VMT/yr","","",""
"EU-20","other","Diesel Generator (20 Hp)","20","bhp","","",""
"EU-25","other","Maintenance Heaters (<10MMBtu/hr)(natural gas)","4","units","","",""
"EU-26","other","Power Wash Water Heater (0.300 MMBtu/hr)(natural gas)","0.3","MMBtu/hr","","","CE-26"
"EU-29","other","Diesel Generator (20 Hp)","20","bhp","","","CE-29"
