"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"107-4","scrubber","Scrubber associated with RF-20A, RF-20B, and RF-20C tanks","","","","","RF-20A, RF-20B, RF-20C"
"108-2","storage","Ethanol storage tank RF-3B","12950","gallons","2985000","kg/yr",""
"109-1","dedusting system","Dedusting system and baghouse associated with RF-13, #2 house vacuum, and hopper feeder","","","","","RF-13, #2 house vacuum"
"11-A-062-S2","conveying","Dry Feed Pneumatic Conveyor","20","tons/hr","","","Baghouse"
"12-14","drying","G-1 #1 Germ Dryer, G-7 #7 Germ Dryer, G-8 Germ Cooler","10","tons/hr","","",""
"121A","baghouses","Baghouse","","","","","121, 121C"
"121B","scrubbers","Dry Scrubber","","","","","121"
"121C","other","Lime Injection","","","","","121"
"121D","other","SNCR and Operating Injection","","","","","121"
"122","receiving","Crusher #1 and Receiving Hopper","150","tons/hr","","","122, 122a"
"123","receiving","Crusher #2 and Receiving Hopper","150","tons/hr","","","123, 123a"
"125","storage","Limestone Storage Silo #1 and Bag Filter (Mechanical Transfer)","16.67","tons/hr","","","125, 125B"
"125B","storage","Limestone Storage Silo #2 and Bag Filter (Mechanical Transfer)","16.67","tons/hr","","","125B"
"12-6","dryers","Germ Dryer","10","tons/hr","","","CE 12-6"
"12-8","drying","G-2 #2 Germ Dryer, G-3 #3 Germ Dryer","10","tons/hr","","",""
"139-1","drying","Dryer, 2 Stages","18","MMBtu/hr","","","Natural Regenerative Gas Thermal Oxidizer"
"139-2","drying","Dryer, 2 Stages, Bypass","37","tons/hr","","","Natural Regenerative Gas Thermal Oxidizer"
"140-1","baghouses","Gluten Truck Loadout Baghouse","","","","","CE 140-01"
"16-26","other","Emission Point with Baghouse Control Equipment","","","","","Not specified in text"
"201-1","combustion","Diesel Starting Engine","","","","",""
"201-2","combustion","Natural Gas Turbine - DLN Burner","41.5","MW","","",""
"201-5, 201-6, 201-8","boiler","Package Boiler with Low NOx Burner","96.66","MMBtu/hr","","",""
"202-1","combustion","Natural Gas Turbine with SCR Catalyst and Oxidation Duct","166","MMBtu/hr","","",""
"51-4","drying","Gluten Ring Dryer FH-1: Gluten Dryer Scrubber Natural Gas","9.75","tons/hr","","","Natural Gas"
"51-5","cooling","Gluten Meal Cooling FH-2: Baghouse Gluten","9.75","tons/hr","","","Baghouse"
"58-14","receiving","Elevator Downriver EL-6: Grain Receiving","","","170","tons/hr",""
"64-A","extraction","Venturi Syrup Solids Scrubber with Natural Gas and Dryer Control Equipment","3300","lb/hr","2.47","tons/hr corn syrup solids","AB-4, AB-4A, AB-4B"
"66-18","refining","Carbon Regeneration Furnace #1 with Venturi Scrubber Control Equipment","0.625","tons/hr carbon","","","RC-2"
"66-27","storage","Filter Aid RC-3: Diatomaceous Earth Storage Baghouse","","","","","RC-3"
"66-37","refining","Carbon Regeneration Furnace RC-16: Scrubber with Natural Gas Furnace #2","1.08","tons/hr","","","RC-16, Furnace #2"
"67-F-3 BT-12","conveyor","Barge Loading Conveyor","","","600","tons/hr",""
"67-F-4 BT-13","conveyor","Barge Filling","","","600","tons/hr",""
"7-16","conditioning","M-5A 5th Fiber Wash Tank, M-5B 2nd Grind Pit, M-5C 3rd Grind Pits","220","tons/hr","","",""
"7-3","storage","17 Steep Tanks","65000","gallons","","",""
"7/8/9/10","other","Mill House Exhaust Vents","220","tons/hr","","",""
"84-10","drying","Drying and Dedusting with Reclaim Tank","7","tons/hr","","","RD-2, RD-3, RD-4"
"84-D","drying","Refinery D House Vacuum System Baghouse","0.5","tons/hr","","","Vacuum System"
"AB-19","storage","Sodium Bisulfate Tank","","","","","Not specified in text"
"BCS-1 HCl storage tank working and breathing losses","storage","HCl Storage Tank Working And Breathing Losses","36800","gallons","","","BCS-1, CE 71-5"
"BCS-2 HCl storage tank working and breathing losses","storage","HCl Storage Tank Working And Breathing Losses","36800","gallons","","","BCS-2, CE 71-5"
"BCS-3A HCl storage tank working and breathing losses","storage","HCl Storage Tank Working And Breathing Losses","36800","gallons","","","BCS-3A, CE 71-5"
"BCS-4 BCS-4: 0.15 sulfur scrubber","scrubber","Sulfur Burner/Sulfurous Acid Production with Scrubber","","","","","BCS-4"
"CE-10: Cyclone, CE-11: Cyclone, CE-12: Scrubber","wet scrubbing","Cyclones and Scrubber","37","tons/hr","","","Natural Regenerative Gas Thermal Oxidizer"
"CE-13: Natural Regenerative Gas Thermal Oxidizer","thermal oxidation","Regenerative Gas Thermal Oxidizer","","","","","Natural Regenerative Gas Thermal Oxidizer"
"CE 7-21: AB-2 Carbon Receiver Tank","storage","Carbon Receiver Tank with Wet Scrubber","","","","","Wet Scrubber"
"CE AB-22","packaging","Bag Packager Sweeteners with Baghouse Control Equipment","5420","lb/hr","","","AB-22"
"CE AB-23","packaging","Bagger Sweeteners with Baghouse Control Equipment","1875","lb/hr","","","AB-24"
"CG-3","boilers","Dew Point Heater","1.57","MMBtu/hr","","","200-1"
"FH-08N","cooling","Pellet Cooler","","","","","Baghouse"
"FH-09N","cooling","Pellet Cooler","","","","","Baghouse"
"FH-32N","handling","Bucket Elevator Feed, Pellets","40","tons/hr","","","Pulse Jet"
"FH-33N","handling","Bucket Elevator Feed, Pellets","40","tons/hr","","","Pulse Jet"
"FH-34N","conveying","Conveyor Feed, Pellets","40","tons/hr","","","Pulse Jet"
"FH-35N","handling","Bucket Elevator Feed, Pellets","40","tons/hr","","","Pulse Jet"
"FH-36N","conveying","Conveyor Feed, Pellets","40","tons/hr","","","Pulse Jet"
"FH-37N","conveying","Conveyor Feed, Pellets","40","tons/hr","","","Pulse Jet"
"FH-38N","conveying","Conveyor Feed, Pellets","40","tons/hr","","","Pulse Jet"
"FH-39N","conveying","Conveyor Feed, Pellets","40","tons/hr","","","Pulse Jet"
"FH-40N","storage","Silo Feed, Pellets","40","tons/hr","","","Pulse Jet"
"FH-43N","cooling","Pellet Cooler","37","tons/hr","","","Baghouse"
"GH-2","generators","Emergency Generator","536","hp","","","15-A-512"
"RF-17","storage","Unloading and Storage of Diatomaceous Earth","","","","","DE Unloading Baghouse"
"RF-18","transfer","Transfer of Diatomaceous Earth","1600","lb/hr","","","Baghouse"
"RF-4, RF-4B, RF-5","storage","Storage of Carbohydrate in Tanks","","","","","Scrubber"
"RF-6","drying","Drying of Crystals","5939","lb/hr","","","Dryer"
"RF-7","cooling","Cooling of Dried Carbohydrate","5939","lb/hr","","","Cooler"
"RF-8a, RF-8, RF-8: Baghouse, RF-9, RF-10, RF-14","dedusting","Dedusting and Blending of Corn Byproducts","3860","lb/hr","","","Baghouse"
"ST-17 Dryer Scrubber","dryers, baghouses, scrubbers","Dryer ST-17 with associated scrubber for corn starch processing","11000","lb/hr","","",""
"ST-18 Cyclones","other","Cyclone system for corn starch flash dryer #1","5.43","","","",""
"ST-20: Baghouse","baghouses","Pneu-Vac Blower ST-20 system for baghouse","","","","",""
"Waste Heat Boiler (112)","boilers","Natural gas-fired waste heat boiler","21.3","MMBtu/hr","","",""
"WMD-05","baghouses","Starch Baghouse","3","tons/hr","","","WW-01"
"WMD-09","other","Exhaust Vents for Starch","","","","",""
"WW-01","baghouses","Lime Baghouse for Storage Silo #1","24","tons/hr","","",""
"WW-04, WW-05","other","Aeration Equipment for Wastewater Management","","","","",""
"WW-06","other","Surge & Equalization Tank for Wastewater Management","","","","",""
"WW-07","other","Lime Storage Silo #2","","","","",""
