"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"ATN1-EG1 through ATN1-EG4; ATN1-EG5 through ATN1-EG14; ATN1-EG1R; ATN1-EG2R","emergency_generator","3,000 kW Emergency Generators (various models)","3000","kW","","",""
"ATN2-EG1 through ATN2-EG3; ATN2-EG5 through ATN2-EG10; ATN2-EG12 through ATN2-EG14; ATN2-EG1R; ATN2-EG2R","emergency_generator","3,000 kW Emergency Generators (various models)","3000","kW","","",""
"ATN3-EG1 through ATN3-EG8; ATN3-EG9R; ATN3-EG10; ATN3-EG2R","emergency_generator","3,000 kW Emergency Generators","3000","kW","","",""
"ATN3-EG1 through ATN3-EG8; ATN3-EG9 through ATN3-EG14; ATN3-EGN1 through ATN3-EGN4","emergency_generator","3,000 kW Emergency Generators (various models)","3000","kW","","",""
"ATN3-EGA1","emergency_generator","Caterpillar Model C32 diesel fired emergency generator, 1000 kW","1000","kW","","",""
"ATN4-EGES","emergency_generator","Caterpillar Model C18 diesel fired emergency generator, 600 kW","","","","",""
"ATN5-EG1 through ATN5-EG8; ATN5-EG9R; ATN5-EG10; ATN5-EG2R","emergency_generator","3,100 kW Emergency Generators","3100","kW","","",""
"ATN5-EG1 through ATN5-EG8; ATN5-EG9 through ATN5-EG14; ATN5-EG2R","emergency_generator","3,000 kW Emergency Generators and 3,100 kW Emergency Generators","","","","",""
"ATN5-EG1 through ATN5-EG8; ATN5-EG9 through ATN5-EG14; ATN5-EGN1 through ATN5-EGN4","emergency_generator","3,000 kW Emergency Generators (various models)","3000","kW","","",""
"ATN6-EG1 through ATN6-EG4; ATN6-EG5R; ATN6-EG6; ATN6-EG7; ATN6-EG8; ATN6-EG9; ATN6-EG10; ATN6-EG2R","emergency_generator","3,000 kW Emergency Generators","3000","kW","","",""
"ATN6-EG1 through ATN6-EG4; ATN6-EG5 through ATN6-EG8; ATN6-EG9 through ATN6-EG14; ATN6-EG2R; ATN6-EG12 through ATN6-EG14","emergency_generator","3,000 kW Emergency Generators and 3,100 kW Emergency Generators","","","","",""
"ATN6-EG1 through ATN6-EG4; ATN6-EG5 through ATN6-EG8; ATN6-EG9 through ATN6-EG14; ATN6-EGN1 through ATN6-EGN4","emergency_generator","3,000 kW Emergency Generators (various models)","3000","kW","","",""
"ATN6-EGN1 through ATN6-EGN4; ATN6-EGN5R; ATN6-EGN6; ATN6-EGN7; ATN6-EGN8","emergency_generator","3,000 kW Emergency Generators","3000","kW","","",""
"CT1, CT2, CT3","cooling_tower","Baltimore Aircoil Company Model S3E-1424-12T/EDX Cooling Towers","","","2645","gallon/minute",""
"PCI1-EGRA through PCI1-EGN4; PCI2-EGN1 through PCI2-EGN4; PCI3-EGN1 through PCI3-EGN4; PCI4-EGES; PCI5-EGN1 through PCI5-EGN4; PCI6-EGN1 through PCI6-EGN4","emergency_generator","3,000 kW Cummins Emergency Generators (various models)","3000","kW","","",""
