"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"100","storage","Tank 7 - Solvent Storage Tank","","","148150.0","gallons/year",""
"18","milling","Yellow Mixing Vessel - Pigment, Solvent, Resin Processing","830.0","lbs/hr","","",""
"19","milling","Red Mixing Vessel - Pigment, Solvent, Resin Processing","830.0","lbs/hr","","",""
"1A","storage","Tank 1A - Solvent Storage Tank","","","300000.0","gallons/day",""
"1B","storage","Tank 1B - Solvent Storage Tank","","","300000.0","gallons/day",""
"2","storage","Tank 2 - Solvent Storage Tank","","","200000.0","gallons/day",""
"20","milling","Blue Mill Vessel - Pigment, Solvent, Resin Processing","830.0","lbs/hr","","",""
"21","milling","Black Mill Vessel - Pigment, Solvent, Resin Processing","830.0","lbs/hr","","",""
"23","milling","1000 Gallon Mixing Vessel - White and Varnish Processor #1","4250.0","lbs/hr","","",""
"24","milling","1000 Gallon Mixing Vessel - White and Varnish Processor #2","4250.0","lbs/hr","","",""
"26","milling","1000 Gallon Mixing Vessel - White and Varnish Processor #3","4250.0","lbs/hr","","",""
"27","milling","LMZ 60 Netsch Milling Vessel - Pigment, Solvent, Resin Processing","500.0","gallons","","",""
"3","storage","Tank 3 - Solvent Storage Tank","","","120000.0","gallons/day",""
"30","storage","Modern Welding Co. Model DWG#2-1975 - Varnish, Solvent Based Storage Tank","4885.0","gallons","","",""
"31","storage","Modern Welding Co. Intermediate Bulk Tank - Varnish, Solvent Based Storage Tank","9712.0","gallons","","",""
"36","dispensing","Middle Dispenser Rack - Solvent, Ink Bases, Varnish Processing","1560.0","lbs/hr","","",""
"38","dispensing","Auto Disp. Head FLEX - Solvent, Ink Bases, Varnish Processing","2600.0","lbs/hr","","",""
"39","dispensing","Auto Disp. Head SXL - Solvent, Ink Bases, Varnish Processing","2600.0","lbs/hr","","",""
"4","storage","Tank 4 - Solvent Storage Tank","","","80000.0","gallons/day",""
"41","dispensing","Auto Disp. Head NW - Solvent, Ink Bases, Varnish Processing","2600.0","lbs/hr","","",""
"45","boiler","Kohler Diesel Generator Model 500R0ZD - Diesel Fuel Combustion","500.0","KW","","",""
"46","milling","Color Pre-Batch Room - Pigment, Resin, Additives Processing","2100.0","lbs/hr","","",""
"47","milling","White and Varnish Pre-Batch Room - Pigment, Resin, Additives Processing","6600.0","lbs/hr","","",""
"5","storage","Tank 5 - Solvent Storage Tank","","","120000.0","gallons/day",""
"50","milling","LMZ 60 Netsch Milling Vessel - Pigment, Solvent, Resin Processing","500.0","gallons","","",""
"51","milling","LMZ 60 Netsch Milling Vessel - Pigment, Solvent, Resin Processing","500.0","gallons","","",""
"52","milling","LME 100 Netsch Mill - Pigment, Solvent, Resin Processing","800.0","gallons/hr","","",""
"53","storage","White Clay Solution Storage Tank - Solvent Based Varnish Storage","1568.0","gallons","","",""
"6","storage","Tank 6 - Solvent Storage Tank","","","120000.0","gallons/day",""
"60","distillation","D. W. Renzmann Solvent Recovery Still - Solvent Processing","50.0","gallons/hr","","",""
"61","cleaning","D. W. Renzmann Equipment Cleaning System - Solvent Processing","3.0","cycles/hr","","",""
"82","milling","150 hp White and Varnish Mixer - Pigment, Solvent, Resin Processing","4500.0","lbs/hr","","",""
"9","storage","Minor Solvent Tote Tank - Solvents Storage","550.0","gallons","","",""
"EU-1A, EU-1B","storage","Storage Tank for Solvent","","","300000.0","gallons/month","CE-4"
"EU-20, EU-21","milling","Blue and Black Mill Vessel for Pigment, Solvent, Resin","830.0","lbs/hr","","","CE-6"
"EU-27, EU-50, EU-51, EU-52, EU-53","milling","Netsch Milling Vessel for Pigment, Solvent, Resin","500.0","gallons","","","CE-7"
"EU-28, EU-30, EU-29, EU-45, EU-31","storage","Intermediate Tank for Varnish, Solvent Based","900.0","lbs/hr","1050000.0","gallons/month","CE-10"
"EU-28, EU-31, EU-46, EU-47","storage","Intermediate Bulk Tank for Solvent Based Varnish","900.0","lbs/hr","1050000.0","gallons/month","CE-11"
"EU-2, EU-3, EU-4, EU-5, EU-6, EU-100","storage","Storage Tank for Solvent","","","1000000.0","gallons/month","CE-5"
"EU-30, EU-45","storage","Modern Welding Company Bulk Varnish Tank for Solvent Based Varnish","1000.0","gallons/hr","1050000.0","gallons/month","CE-10"
"EU-36, EU-38, EU-39, EU-41","dispensing","Dispensing Rack for Solvent, Ink Bases, Varnish, Additives","1560.0","lbs/hr","","","CE-9"
"EU-46, EU-47","pre-batch","Pre-Batch Room for White and Varnish Pigment, Resin, Additives","2100.0","lbs/hr","54912000.0","lbs/year","CE-11"
"EU-60, EU-61","recovery","Solvent Recovery Still and Equipment Cleaning System for Solvent","50.0","gallons/hr","","","CE-12"
"EU-9, EU-18, EU-19, EU-23, EU-24, EU-26, EU-82","mixing","Mixing Vessel for Ink Bases, Pigment, Solvent, Resin, Additives","","","5840.0","batches/month","CE-8"
