"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-21 & EU-27","curing_oven","Primer Blade Curing Oven / Top-Coat Blade Curing Oven","1.195","MMBtu/hr","","","CE-21A, CE-27A"
"EU-29","paint_area","Bay 7 Paint Area","9.0","gal/hr (combined roll on and spray gun)","","","CE-29A, CE-29B"
"EU-30","curing_oven","Green Blade Curing Oven","1979000","Btu/hr","","",""
"EU-AB1","abrasive_blasting","Abrasive Blasting","","","36","tons/day","CE-AB1"
"EU-D1","machine_drilling","Machine Drilling","3120","wind turbine blades/year","","","CE-D1-2"
"EU-D2","machine_drilling","Machine Drilling","3120","wind turbine blades/year","","","CE-D2"
"EU-F2","paint_operations","Finishing and Roll-on Paint Operations","3120","wind turbine blades/year","","",""
"EU-ML1","blade_molding","Blade Molding","3120","wind turbine blades/year","","",""
"EU-PB1","paint_booth","Paint Booth #1/Cure Oven","3120","wind turbine blades/year","","","CE-PB1"
"EU-PK1 & EU-PK2","paint_kitchen","Paint Kitchens #1 & #2","","","","",""
"EU-RF5, EU-RF6, EU-RF7 & EU-RF8","finishing_operations","Rough Finishing* (Paint, Solvent, Adhesive)","","","3120","wind turbine blades/year",""
