"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EG","boiler","Caterpillar C15 Emergency Generator 16-A-336","36.3","gal/hr","","","NA"
"N1.01","boiler","Line #1 Washcoat Oven 15-A-263-S1","5.84","MMBtu/hr","","","CD2.01"
"N1.02a","boiler","Line #1 Interior Bake Oven (a)","2.5","MMBtu/hr","","","CD1.01"
"N1.02b","boiler","Line #1 Interior Bake Oven (b)","2.5","MMBtu/hr","","","CD1.01"
"N2.01","boiler","Line #2 Washcoat Oven","5.84","MMBtu/hr","","","CD2.01"
"N2.02a","boiler","Line #2 Interior Bake Oven (a)","2.5","MMBtu/hr","","","CD2.01"
"RV1","boiler","Line #1 Videojet Printers Ink 3,500 cans/minute NA","","","","","NA"
"RV2","boiler","Line #1 Cleanup Operations Solvent 2 gallons/hr NA","","","","","NA"
"RV3","boiler","Line #2 Videojet Printers Ink 2,400 cans/minute NA","","","","","NA"
"RV4","boiler","Line #2 Cleanup Operations Solvent 2 gallons/hr NA","","","","","NA"
"S1.001","boiler","Line #1 Washcoater","3200","cans/min","","","CD1.01"
"S1.002","boiler","Line #1 Interior Spray Machines","3350","cans/min","","","CD1.01"
"S1.003","boiler","Line #1 Ink Dot Marking","3350","cans/min","","","BH1"
"S1.005","boiler","Line #1 Cleanup Operations 15-A-263-S1","","","","","BH1"
"S2.001","boiler","Line #2 Washcoater 15-A-253-S2","3200","cans/min","","","CD2.01"
"S2.002","boiler","Line #2 Interior Spray Machines 15-A-251-S2","2345","cans/min","","","CD2.01"
"S2.003","boiler","Line #2 Ink Dot Marking","2345","cans/min","","","BH2"
"S2.004","boiler","Line #2 Videojet Printers 15-A-263-S1","","","","","BH2"
"S2.005","boiler","Line #2 Cleanup Operations 15-A-263-S1","","","","","BH2"
"Stk04","boiler","Line #1 Washcoater 3,200 cans/minute 15-A-252-S2","","","","","CD1.01"
"Stk05","boiler","Line #1 Washcoat Oven 3,200 cans/minute 15-A-260-S1","","","","","CD1.01"
"Stk06","boiler","Natural Gas Boiler 15-A-249","14","MMBtu/hr","","","NA"
"Stk08","boiler","Line #2 Washcoater 3,200 cans/minute 15-A-253-S2","","","","","CD2.01"
"Stk09","boiler","Line #2 Washcoat Oven 3,200 cans/minute 15-A-261-S1","","","","","CD2.01"
"Stk13","boiler","Line #1 Interior Bake Oven (a) 2.5 MMBtu/hr 15-A-254-S1","","","","","CD1.01"
"Stk14","boiler","Line #2 Interior Bake Oven (a) 2.5 MMBtu/hr 15-A-255-S1","","","","","CD2.01"
"Stk17","boiler","Line #1 Interior Bake Oven (b) 2.5 MMBtu/hr 15-A-256-S1","","","","","CD1.01"
"Stk18","boiler","Line #2 Interior Bake Oven (b) 2.5 MMBtu/hr 15-A-257-S1","","","","","CD2.01"
"Stk23","boiler","Line #2 Interior Bake Oven (a) 2.5 MMBtu/hr 15-A-258-S1","","","","","CD2.01"
"Stk24","boiler","Line #2 Interior Bake Oven (b) 2.5 MMBtu/hr 15-A-259-S1","","","","","CD2.01"
