"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EF 1","cleaning and marking","DRD Can Lines 1 & 2 – Clean up Operations, Videojet Ink Marking, Natural Gas Fired Equipment","","","","","CE-05-A-260-S7"
"EF 2","compound and spray application","Stolle Rotary End Compound Liners, Mist Spray Applicators, Conversion Presses, Clean up Operations","","","","","CE-05-A-261-S1"
"EF 5","conversion and cleaning","DRT Conversion Presses, Clean up Operations","","","","","CE-05-A-261-S1"
"EP 101","compound","Liner 10 Line 211 End Compound Liner","","","","","EU-05-A-263-S2"
"EP 102","compound","Liner 15 Line 211 End Compound Liner","","","","","EU-07-A-1001"
"EP 200","compound","Liner 5 Line 307 End Compound Liner","","","","","EU-96-A-1258-S11"
"EP 700","collection","Scrap Tab Slugs Collection – Process Stack Emissions","","","","","CE-00-A-551-S4"
"EP 701A","collection","Pneumatically Conveyed Scrap Aluminum Skeletons","20900","lb/hr","","","CE-00-A-552-S4, CE-07-A-1036-S3"
"EP 701B","collection","Collection of Scrap Steel Skeletons – Process Stack Emissions","","","","","CE-07-A-1036-S3"
"EP 702A","collection","Scrap Steel Skeletons Collection – Process Stack Emissions","","","","","CE-07-A-1037-S1"
"EP 800","spray application","211 Line Post Repair Spray Application – Process Stack Emissions","","","","","CE-07-A-1003-S5"
"EP 900","drying","Spam Oven Drying Line 1 – Process Stack Emissions","","","","","CE-09-A-514-S3"
"EU 400","cleaning","Clean up Operations","","","","","CE-05-A-263-S2, CE-07-A-1001"
"EU 500","marking","Videojet Ink Marking – Process Fugitive Emissions","","","","","CE-05-A-259-S1"
"EU 600","heating","Natural Gas Fired Equipment","20.61","MMBtu/hr","","","CE-05-A-259-S1"
"EU 805","emission_point","300 Line and 307 Line Emissions","","","","","CE-07-A-1003-S5"
