"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"RV1","stack","End Compound Liners, Mist Spray Applicators, End Sealing","","","","","Liner R1, Solvent Coils, Solvent Brush R1"
"RV2","stack","End Compound Liners, Mist Spray Applicators, End Sealing","","","","","Liner 1A, Liner 1B, Liner 2A, Liner 2B, Liner 4, Liner 5A, Liner 5B, Mister 1A, Mister 1B, Mister 2A, Mister 2B, Mister 4, Mister 5A, Mister 5B"
"RV3","stack","End Compound Liners, Mist Spray Applicators, End Sealing","","","","","Liner 8A/8B, Liner 9, Liner 10, Mister 8A/8B, Mister 9, Mister 10"
"RV4","stack","End Compound Liners, Mist Spray Applicators, End Sealing","","","","","Liner 11, Mister 11"
"Stack 10","stack","End Compound Liners, Mist Spray Applicators, End Sealing","","","","","Liner 9, Liner 10, Mister 9, Mister 10"
"Stack 11","stack","End Compound Liners, Mist Spray Applicators, End Sealing","","","","","Liner 11, Mister 11"
"Stack 2","stack","End Compound Liner R1, Solvent Brush R1, End Sealing","","","","","Liner R1, Solvent Coils, Solvent Brush R1"
"Stack 3","stack","End Compound Liners, Mist Spray Applicators, End Sealing","","","","","Liner 1A, Liner 1B, Liner 4, Liner 5A, Liner 5B, Mister 1A, Mister 1B, Mister 2A, Mister 2B, Mister 4, Mister 5A, Mister 5B"
"Stack 4","stack","End Compound Liners, Mist Spray Applicators, End Sealing","","","","","Liner 2A, Liner 2B, Mister 2A, Mister 2B"
"Stack 8","stack","End Compound Liners, Mist Spray Applicators, End Sealing","","","","","Liner 8A/8B, Mister 8A/8B"
"Stack RTO","stack","End Compound Liners, Regenerative Thermal Oxidizer (RTO)","","","","","Liner R5, Liner R6, Solvent Brush R5, Solvent Brush R6"
