"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01","smokehouse","Batch Truck Smokehouse 1 (Alkar)","","","","","CE-01"
"EU-02","smokehouse","Batch Truck Smokehouse 2 (Alkar)","","","","","CE-02"
"EU-03","smokehouse","Batch Truck Smokehouse 3 (Alkar)","","","","","CE-03"
"EU-04","smokehouse","Batch Truck Smokehouse 4 (Alkar)","","","","","CE-04"
"EU-05","smokehouse","Batch Truck Smokehouse 5 (Alkar)","","","","","CE-05"
"EU-06","smokehouse","Batch Truck Smokehouse 6 (Alkar)","","","","","CE-06"
"EU-07","smokehouse","Batch Truck Smokehouse 7 (Alkar)","","","","","CE-07"
"EU-08","smokehouse","Batch Truck Smokehouse 8 (Alkar)","","","","","CE-08"
"EU-09","smokehouse","Batch Truck Smokehouse 9 (Marlen)","","","","","CE-09"
"EU-10","smokehouse","Batch Truck Smokehouse 10 (Alkar)","","","","","CE-10"
"EU-11","smokehouse","Batch Truck Smokehouse 11 (Alkar)","","","","","CE-11"
"EU-12A","smokehouse","Batch Truck Smokehouse 12 (Marlen Oven 13)","","","","","CE-12A"
"EU-13A","smokehouse","Batch Smokehouse 13 (Wins Oven 14)","","","","","CE-13A"
"EU-14A","smokehouse","Batch Smokehouse 14 (Wins Oven 15)","","","","","CE-14A"
"EU-15A","smokehouse","Batch Smokehouse 15 (Wins Oven 16)","","","","","CE-15A"
"EU-20","smokehouse","Batch Serpentine Smokehouse 1 (Alkar)","","","","","CE-20"
"EU-21","smokehouse","Batch Serpentine Smokehouse 2 (Alkar)","","","","","CE-21"
"EU-22","smokehouse","Batch Serpentine Smokehouse 3 (Alkar)","","","","","CE-22"
"EU-30","boiler","Boiler 1 (20.1 MMBtu/hr)","20.1","MMBtu/hr","","","CE-30"
"EU-31","boiler","Boiler 2 (20.1 MMBtu/hr)","20.1","MMBtu/hr","","","CE-31"
"EU-40","heater","Kemco Hot Water Heater (6.7 MMBtu/hr)","6.7","MMBtu/hr","","","CE-40"
"EU-41","air handling","Makeup Air Unit (MAU-1)","","","","","CE-41"
"EU-42","air handling","Makeup Air Unit (MAU-2)","","","","","CE-42"
"EU-43","air handling","Makeup Air Unit (MAU-3)","","","","","CE-43"
"EU-44","air handling","Makeup Air Unit (MAU-4)","","","","","CE-44"
"EU-45","air handling","Makeup Air Unit (MAU-5)","","","","","CE-45"
"EU-46","air handling","Makeup Air Unit (MAU-6)","","","","","CE-46"
"EU-47","air handling","Makeup Air Unit (MAU-7)","","","","","CE-47"
"EU-48","air handling","Makeup Air Unit (MAU-8)","","","","","CE-48"
"EU-49","air handling","Makeup Air Unit (MAU-9)","","","","","CE-49"
"EU-50","air handling","Makeup Air Unit (MAU-10)","","","","","CE-50"
"EU-51","air handling","Makeup Air Unit (MAU-11)","","","","","CE-51"
"EU-52","air handling","Makeup Air Unit (MAU-12)","","","","","CE-52"
"EU-60","cooker","Steam Cooker 1","","","","","CE-60"
"EU-61","cooker","Steam Cooker 2","","","","","CE-61"
"EU-62","cooker","Steam Cooker 3","","","","","CE-62"
"EU-63","cooker","Steam Cooker 4","","","","","CE-63"
"EU-64","cooker","Steam Cooker 5","","","","","CE-64"
"EU-65","cooker","Steam Cooker 6","","","","","CE-65"
"EU-66","cooker","Steam Cooker 7","","","","","CE-66"
"EU-67","cooker","Steam Cooker 8","","","","","CE-67"
"EU-68","cooker","Steam Cooker 9","","","","","CE-68"
"EU-69","cooker","Steam Cooker 10","","","","","CE-69"
"EU-70","cooker","Steam Cooker 11","","","","","CE-70"
"EU-71","cooker","Steam Cooker 12","","","","","CE-71"
"EU-72","cooker","Steam Cooker 13","","","","","CE-72"
"EU-80","hood","Kitchen Stove Hood","","","","","CE-80"
