"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"01-A-1228","generator","Rolling Mill Emergency Generator #2","650","kW (739 bhp)","","","2.01, 15.01"
"01-A-1229","boiler","Reheat Furnace Emergency Pump","420","BHP","","",""
"01-A-1230","generator","Portable Generator","650","kW (739 bhp)","","","2.01, 15.01"
"06-A-790","boiler","Vacuum Tank Degasser (VTD) Steam Generator #1","387.6","MMBtu/hr","","","2.01, 15.01"
"06-A-791","boiler","Vacuum Tank Degasser (VTD) Mechanical Vacuum Induction","387.6","MMBtu/hr","","","2.01, 15.01"
"06-A-792-S2","boiler","VTD Steam Generator #2","387.6","MMBtu/hr","","","2.01, 15.01"
"08-A-518-P1","boiler","Quality Control Hand Scarfing - Fugitive Emissions","40","scf/hr (3 torches)","","",""
"10-A-146-S1","boiler","VTD Steam Generator #3","387.6","MMBtu/hr","","","2.01, 15.01"
"10-A-147-S1","boiler","VTD Steam Generator #3","387.6","MMBtu/hr","","","2.01, 15.01"
"1.1 Scrap Preheat Shell","boiler","Scrap Preheat Shell in EAF/LMF Meltshop Stacks","","","","","2.01, 15.01"
"1.2 Electric Arc Furnace Melting Shell","boiler","Electric Arc Furnace Melting Shell in EAF/LMF Meltshop Stacks","","","","","2.01, 15.01"
"19-A-069-S1","generator","WAC Emergency Generator","650","kW (739 bhp)","","","2.01, 15.01"
"19-A-362-P3","boiler","Torch Cutting Table (fugitive)","","","","","2.01, 15.01"
"1A 94-A-548-P12","boiler","Ladle Metallurgy Furnace (LMF) in EAF/LMF Meltshop Stacks","","","","","2.01, 15.01"
"7 Tundish Dump","boiler","Tundish Dump in EAF/LMF Meltshop Stacks","","","","","2.01, 15.01"
"94-A-549-S1","boiler","Caster Mold in EAF/LMF Meltshop Stacks","200","TPH","","","2.01, 15.01"
"94-A-553-P4","boiler","Oxy-fuel Caster Torch","135","CFH (fuel) + 220 CFH (preheating) + 1500 CFH (cutting)","","",""
"94-A-554-S1","boiler","Tundish Dump in EAF/LMF Meltshop Stacks","200","TPH","","","2.01, 15.01"
"94-A-557-P2","boiler","Steel Scrap Cutting Operations (fugitive)","135","CFH for preheating and 1500 CFH for cutting","","","2.01, 15.01"
"94-A-560-P6","boiler","Slab Reheating Furnace (fugitive)","387.6","MMBtu/hr","","","2.01, 15.01"
"94-A-561-P5","boiler","Temperature Retention Unit (fugitive)","12.95","MMBtu/hr","","","2.01, 15.01"
"94-A-562-P6","boiler","Ladle Dryer in EAF/LMF Meltshop Stacks","17.8","MMBtu/hr","","","2.01, 15.01"
"94-A-563-P6","boiler","Ladle Preheater in EAF/LMF Meltshop Stacks","12","MMBtu/hr","","","2.01, 15.01"
"94-A-564-P5","boiler","Tundish Dryer in EAF/LMF Meltshop Stacks","6","MMBtu/hr","","","2.01, 15.01"
"94-A-565-P4","boiler","Tundish Preheater in EAF/LMF Meltshop Stacks","12366","ft3/hr","","","2.01, 15.01"
"96-A-1138","generator","Rolling Mill Standby Generator","650","kW (739 bhp)","","","2.01, 15.01"
"96-A-1139","generator","Continuous Caster Standby Generator","7148","scfm","","","2.01, 15.01"
"96-A-1140","generator","Melt Shop Standby Generator","3649","scfm","","","2.01, 15.01"
"98-A-973","generator","Emergency Lighting Generator","650","kW (739 bhp)","","","2.01, 15.01"
"99-A-362-P3","boiler","Torch Cutting Table","120","scf/hr (3 torches)","","",""
