"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","paint_spray_booth","Bed Liner Booth 1","","","","","CE-01"
"EU-25","paint_spray_booth","North Paint Booth 25","","","","","CE-25"
"EU-27","paint_spray_booth","Paint Spray Booth 27","","","","","CE-27"
"EU-28","paint_spray_booth","Paint Spray Booth 28","","","","","CE-28"
"EU-29","paint_spray_booth","Paint Spray Booth 29","","","","","CE-29"
"EU-30","bake_oven","Paint Bake Oven (<10 MMBtu/hr)","9.67","MMBtu/hr","","",""
"EU-31","bake_oven","Paint Bake Oven (<10 MMBtu/hr)","9.67","MMBtu/hr","","",""
"EU-32","paint_spray_booth","Undercoat Spray Booth 32","","","","","CE-32"
"EU-33","wash_booth","Wash Booth","","","","",""
"EU-41","paint_spray_booth","Spray Booth 41","","","","","CE-41"
"EU-42","paint_spray_booth","Test Booth 42","","","","","CE-42"
"EU-43","generator","Emergency Generator 16 kW (0.324 MMBtu/hr NG)","0.324","MMBtu/hr","","",""
"EU-44","generator","Emergency Generator (0.265 MMBtu/hr NG)","0.265","MMBtu/hr","","",""
"EU-45","generator","Emergency Generator (0.343 MMBtu/hr NG)","0.343","MMBtu/hr","","",""
"GEN-01","generator","Emergency Generator 16 kW (0.324 MMBtu/hr NG)","0.324","MMBtu/hr","","",""
"GEN-02","generator","Emergency Generator (0.265 MMBtu/hr NG)","0.265","MMBtu/hr","","",""
"GEN-03","generator","Emergency Generator (0.343 MMBtu/hr NG)","0.343","MMBtu/hr","","",""
