"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-122","mixing","#27 Banbury: Hand weighing Chemicals","","","1471.7","lbs/hr","CE-05"
"EU-123A","pelletizing","Pelletizing","","","","","CE-06"
"EU-124C","milling","Rubber Milling (No Chemical)","84.0","inches","","","CE-07"
"EU-125A","mixing","Pellet Dip Mixing (Rubber PM)","36.0","inches","","","CE-08"
"EU-127A","milling","Rubber Milling, 55"" Dual Cavity","55.0","inches","","","CE-10"
"EU-127D","milling","Rubber Milling, 36"" Mill","36.0","inches","","","CE-09"
"EU-221","generator","Kohler Model 60RZ282 Natural Gas Emergency Generator, with Catalytic Converter","960.0","ft3/hr","","","CE-16"
"EU-225","generator","Kohler Model 180REZXB Emergency Generator, with Catalytic Converter","302.0","bhp","","","CE-17"
"EU-554","repair","Tractor Tire Repair Booth, Bldg. 18","7.0","tires/hr","","","CE-21"
"EU-567","curing","Bias Tire Curing Presses (21)","30.4","inches","","","CE-18"
"EU-587","assembly","Tire Assembly System with Extruder, 2 Stripwinders, and Spray Booth (#927/928)","4500.0","lb/hr [rubber]","","","CE-22"
"EU-589","assembly","Tire Assembly System with Extruder, 2 Stripwinders, and Spray Booth (#929/930)","4500.0","lb/hr [rubber]","","","CE-23"
"EU-595","assembly","Tire Assembly System with Extruder, 2 Stripwinders, and Spray Booth (#935/936)","4500.0","lb/hr [rubber]","","","CE-24"
"EU-599","assembly","Tire Assembly System with Extruder, 2 Stripwinders, and Spray Booth (#939/940)","4500.0","lb/hr [rubber]","","","CE-25"
"EU-600","assembly","Tire Assembly System with Extruder, 2 Stripwinders, and Spray Booth","4500.0","lb/hr [rubber]","","","CE-26"
"EU-711","buffing","Tractor Tire Buffing and Repair Booth, Bldg. 12","10.0","tires/hr","","","CE-19"
"EU-712","buffing","Passenger Tire Buffing and Repair Station, Bldg. 22","10.0","tires/hr","","","CE-20"
"EU-820","boiler","Boiler #1, 18.39 MM BTU/hr Natural Gas","0.01803","MMCF/hr","","","CE-11"
"EU-821","boiler","Boiler #2, 18.39 MM BTU/hr Natural Gas","0.01803","MMCF/hr","","","CE-12"
"EU-822","boiler","Boiler #3, 43.88 MM BTU/hr Natural Gas","0.04302","MMCF/hr","","","CE-13"
"EU-823","boiler","Boiler #4, 31.34 MM BTU/hr Natural Gas","0.03073","MMCF/hr","","","CE-14"
"EU-825","heating","Rubber Hot Rooms (5), each with 150,000 BTU Natural Gas Furnaces (5)","148.0","scf/hr","","","CE-15"
