"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-001","paint_booth","Railcar Paint Booth","","","","","CE 1-1, CE 1-2, CE 1-3"
"EU-002","paint_booth","Locomotive Paint Booth","","","","","CE 2-1, CE 2-2"
"EU-003","paint_booth","Lining Paint Booth","","","","","CE 3"
"EU-006","cleaning_operation","Tank Car Cleaning Operation (Uncontrolled Stations)","","","","","CE-6-17"
"EU-008","paint_booth","North Bldg East Exterior Paint Booth","","","","","CE 8-1, CE 8-2"
"EU-009","paint_booth","North Bldg West Exterior Paint Booth","","","","","CE 9-1, CE 9-2"
"EU-011","paint_booth","North Bldg North Interior Lining Paint Booth","","","","","CE 11-1, CE 11-2"
"EU-012","paint_booth","North Bldg South Interior Lining Paint Booth","","","","","CE 12-1, CE 12-2, CE 12-3, CE 12-4"
"EU-013","blast_booth","Exterior Blast Booth","","","","","CE 13"
"EU-020-A-352-S2","washing_station","Tank Car Washing Stations (Flash Point ≥ 140°F)","","","","","CE-6-17"
"EU-020-A-354-S2","washing_station","Tank Car Washing Stations (Flash Point < 140°F)","","","","","CE-6-17"
"EU-020-A-358-S2","washing_station","Tank Car Washing Stations (Flash Point < 140°F)","","","","","CE-6-17"
"EU-020-A-359-S2","washing_station","Tank Car Washing Stations (Flash Point < 140°F)","","","","","CE-6-17"
"EU-020-A-360-S2","washing_station","Tank Car Washing Stations (Flash Point < 140°F)","","","","","CE-6-17"
"EU-020-A-361-S2","washing_station","Tank Car Washing Stations (Flash Point < 140°F)","","","","","CE-6-17"
"EU-020-A-362-S2","washing_station","Tank Car Washing Stations (Flash Point < 140°F)","","","","","CE-6-17"
"EU-020-A-363-S2","washing_station","Tank Car Washing Stations (Flash Point < 140°F)","","","","","CE-6-17"
"EU-021-A-154-S1","degassing_station","Tank Car Degassing Stations (Flash Point < 140°F)","","","","","CE-6-17"
"EU-0235-Gal Diesel Tank","storage_tank","Diesel Storage Tank","235","gallons","","",""
"EU-0235-Gal Kerosene Tank","storage_tank","Kerosene Storage Tank","231","gallons","","",""
"EU-024-A-016","blast_booth","Sponge Blast Bay","","","","","CE 14"
"EU-024-A-017","loading_station","Vacuum Loader","","","","","CE 19"
"EU-0327-Gal Diesel Tank","storage_tank","Diesel Storage Tank","327","gallons","","",""
"EU-0564-Gal Gasoline Tank","storage_tank","Gasoline Storage Tank","564","gallons","","",""
"EU-06-2","degassing_station","Uncontrolled Tank Car Degassing Stations (Flash Point ≥ 140°F)","","","","","CE-6-17"
"EU-06-3","degassing_station","Controlled Tank Car Degassing Stations (Flash Point < 140°F)","","","","","CE-6-17"
