"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","boiler","Railcar Exterior Grit Blast Booth","","","1200","lbs/hr","CE-1"
"EU-10","boiler","Paint Storage Building","","","","",""
"EU-12","boiler","Heaters for Tank Cars (19 Heaters)","6.25","MMBtu/hr each","","",""
"EU-12, EU-13","boiler","Heaters for Tank Cars & Hopper Cars","2.5","MMBtu/hr each (Tank Cars) / 4 MMBtu/hr each (Hopper Cars)","","",""
"EU-13","boiler","Heaters for Hopper Cars (4 Heaters)","1.6","MMBtu/hr each","","",""
"EU-14","boiler","Boiler A - Natural Gas (4.184 MMBtu/hr)","4.184","MMBtu/hr","","",""
"EU-14, EU-15","boiler","Boilers A & B","4.184","MMBtu/hr (Boiler A) / 1.340 MMBtu/hr (Boiler B)","","",""
"EU-15","boiler","Boiler B - Natural Gas (1.340 MMBtu/hr)","1.34","MMBtu/hr","","",""
"EU-16","boiler","Paint Kitchen","","","","",""
"EU-2","boiler","Railcar Interior Grit Blast Booth (South)","","","1200","lbs/hr","CE-2, CE-2A"
"EU-27","boiler","Water Blast Operation (Internally Vented)","","","","",""
"EU-28","boiler","Ethanol Tank Car Cleaning","","","","",""
"EU-29","boiler","Small Parts Oven (Indirect Fired)","0.45","MMBtu/hr","","",""
"EU-3","boiler","Railcar Interior Grit Blast Booth (North)","","","1200","lbs/hr","CE-3, CE-3A"
"EU-4","boiler","Railcar Vapor Removal System","2","Tank Cars/24 hours","","","Flare"
"EU-5","boiler","Railcar Exterior Painting","0.47","gal/min (2 spray guns)","","","CE-5E, CE-5F"
"EU-6","boiler","Railcar Interior Painting/Stencil & Touchup Painting","400","gal/day","","","CE-6A, CE-6D, CE-6F"
"EU-7","boiler","Rubber Lining of Tank Cars","400","gal/day","","","CE-6G, CE-6H, CE-6I, CE-6J, CE-6K"
"EU-7A, EU-7B, EU-7C, EU-7D","boiler","Railcar Rubber Lining Shop","75","gal/day","","","Mini-pleat Filters"
"EU-8","boiler","Inline Tank Car Qualification Process (Repair Area)","30","Railcars/day","","","CE-7A, CE-7B, CE-7C, CE-7D"
"EU-9","boiler","Inline Tank Car Qualification Process (Cut Shop)","36","Railcars/day","","","CE-9A, CE-9B"
"EU-9A, EU-9B","boiler","Inline Tank Car Qualification Process (Cut Shop) Welding & Metal Arc Cutting","36","Railcars/day","","","Mini-pleat Filters"
