"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","other","Quarry Haul Road - Dust Suppression by Water/Chemical Agents","","","","","CE-1"
"EU-140, EU-141, EU-143","other","Rock Loading Traffic - Gravel Road and Haul Roads - Gravel Road","","","805","VMT/hr",""
"EU-15, EU-17, EU-19, EU-21, EU-23","other","Stucco Kettles and Combustion Units - Hydrocal","12","tons/hr","","","CE-15, CE-17, CE-19, CE-21, CE-23"
"EU-161","other","Emergency Generator - Diesel","22.9","gal/hr","","","CE-161"
"EU-2","other","Rock Unloading - Rock","400","tons/hr","","",""
"EU-302, EU-303, EU-305, EU-307, EU-311","other","Primary Crusher - Quarry and Belt Conveyors - Quarry and Truck Loading - Quarry","800","tons/hr","","","CE-302, CE-303, CE-305, CE-307, CE-311"
"EU-304, EU-308","other","Stockpile and Truck Loading - Quarry Gypsum","","","600","tons/hr",""
"EU-3, EU-3A","other","Primary Crusher - Rock and Belt Conveyor - Rock","400","tons/hr","","","CE-3, CE-3A"
"EU-401, EU-402","other","Hydrocal Finish Bulk Supply Bins - Calcined Gypsum and Hydrocal","70","tons/hr","","","CE-401, CE-402"
"EU-403","other","Hydrocal Finish Bulk Supply Bin - Type 1 Cement","35","tons/hr","","","CE-403"
"EU-407, EU-412","other","Screening and Mixing Units - Hydrocal","70","tons/hr","","","CE-407, CE-412"
"EU-4, EU-6","other","Secondary Crusher and Rock Shed - Crushed Rock","350","tons/hr","","","CE-4, CE-6"
"EU-50, EU-56","other","Hydrocal Mixing and Bagging Units - Hydrocal","90","tons/hr","657000","tons/12 months rolling period","CE-50, CE-56"
"EU-7, EU-8, EU-9, EU-10, EU-11, EU-12, EU-13","other","Raymond Mills and Combustion Units - Hydrocal","30","tons/hr","","","CE-8, CE-9, CE-10, CE-11, CE-12, CE-13"
