"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01","boiler","#1 Kettle","","","15","MMBtu/hr","CE-01"
"EU-04","kettle","#4 Kettle","30","MMBtu/hr","","","CE-06"
"EU-05","grinding_mill","#3 Roller Grinding Mill","45","tons/hr","","","CE-07"
"EU-06","calciner","#4 Gypsum Calcining Kettle","56","tons/hr","","","CE-08"
"EU-07A","drying","#1 Roller Grinding Mill","25","tons/hr","","","CE-07A"
"EU-07A, EU-07B","grinding_mill","#1 and #2 Roller Grinding Mill","50","tons/hr","","","CE-09"
"EU-07B","drying","#2 Roller Grinding Mill","25","tons/hr","","","CE-07B"
"EU-08","conveyor","Cooling Belt Conveyor","","","","","CE-10"
"EU-09A","boiler","Rock Dryer Burner","30.1","MMBtu/hr","","","CE-09A"
"EU-09A, EU-09B","drying","Rock Dryer Burner and Gypsum Ore Rotary Dryer","30.1","MMBtu/hr","110","tons/hr","CE-09"
"EU-09B","drying","Gypsum Ore Rotary Dryer","110","tons/hr","","","CE-09B"
"EU-10","storage_bin","Stucco Storage Bins","","","","","CE-12"
"EU-11","kiln","#1 Board Kiln","184.4","ft/min","","","CE-13"
"EU-12","cutting","#1 End Saw","","","","",""
"EU-12, EU-13","cutting","#1 and #2 End Saw","","","","",""
"EU-12, EU-13, EU-14","saw_kiln","#1 and #2 End Saw and #2 Board Kiln","","","","","CE-14"
"EU-13","cutting","#2 End Saw","","","","",""
"EU-14","boiler","#2 Board Kiln","100","MMBtu/hr","","","CE-14"
"EU-15A","mixing","#1 Mixer","","","","",""
"EU-15A, EU-17","mixer_storage_bin","#1 Mixer and #2 Stucco Storage Bin","","","","","CE-15"
"EU-17","storage","#2 Stucco Storage Bin","88","MMBtu/hr","","",""
"EU-18A","mixing","#2 Stucco System","45","tons/hr","","","CE-18A"
"EU-18A, EU-18B","mixer_system","#2 Stucco System and #2 Stucco Mixer","45","tons/hr","","","CE-16"
"EU-18B","mixing","#2 Stucco Mixer","45","tons/hr","","","CE-18B"
"EU-20","storage","Gypsum Rock Storage Pile","1248000","tons/yr","","",""
"EU-20, EU-21, EU-22, EU-23","storage_pile","Gypsum Rock Storage Pile, Gypsum Rock Stock Pile, Cement Rock Storage Pile, Synthetic Gypsum Storage Pile","","","1248000","tons/yr","CE-17"
"EU-21","storage","Gypsum Rock Stock Pile","200000","tons/yr","","",""
"EU-22","storage","Cement Rock Storage Pile","350000","tons/yr","","",""
"EU-23","storage","Gypsum Storage Pile","100000","tons/yr","","",""
"EU-28","crusher","Rock Crusher","160","tons/hr","","","CE-18"
"EU-30A","boiler","#1 Kettle","35","tons/hr","","","CE-30A"
"EU-30A, EU-30B","kettle_hot_pit","#1 Kettle and #1 Kettle Hot Pit","70","tons/hr","","","CE-19"
"EU-30B","boiler","#1 Kettle Hot Pit","35","tons/hr","","","CE-30B"
"EU-32, EU-33, EU-34, EU-35, EU-36, EU-47, EU-49, EU-50, EU-56","miscellaneous","Waste Wallboard Pile, Processed Waste Wallboard Storage Pile, Landplaster Storage Bin, Mine Emergency Hoist, Diesel Fire Pump, Dunnage Processing, FST System, LPG Generator, Office Emergency Generator","","","","","CE-20"
"EU-70","boiler","#2S Kettle/Calciner","18","tons/hr","","","CE-70"
"EU-70, EU-74, EU-75","calciner","#2S Kettle/Calciner and #3N/S Kettle/Calciner","18","tons/hr","","","CE-21"
"EU-74","boiler","#3N Kettle/Calciner","18","tons/hr","","","CE-74"
"EU-75","boiler","#3S Kettle/Calciner","18","tons/hr","","","CE-75"
