"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-003-5 EU-003-GEN-3","boilers","Chemistry Building Generator","","","","","EU-003-GEN-3"
"EP-006-1 EU-006-GEN-1","boilers","Pharmacy Generator","","","","","EU-006-GEN-1"
"EP-018-4 EU-018-GEN-3","boilers","Biology Building Generator","","","","","EU-018-GEN-3"
"EP-022-1 EU-022-GEN-1","boilers","Engineering Building Generator","","","","","EU-022-GEN-1"
"EP-044-1 EU-044-GEN-1","boilers","Currier Hall Generator","","","","","EU-044-GEN-1"
"EP-046-4 EU-046-GEN-2","boilers","IMU Generator 250 kW","","","","","EU-046-GEN-2"
"EP-075-1 EU-075-GEN-1","boilers","College of Public Health Generator","","","","","EU-075-GEN-1"
"EP-18 EU-18","boilers","Pomerantz Family Pavilion Boiler (JGS420)","","","","","EU-18"
"EP-1 EU1-1","boilers","Boyd Tower Generator","","","","","EU1-1"
"EP-212-1 EU-212-GEN-1","boilers","EPF1 Emergency Generator 600 kW","","","","","EU-212-GEN-1"
"EP-239-1 EU-OD#4","boilers","Oakdale Boiler #4 (JGS420)","","","","","EU-OD#4"
"EP-239-4 EU 239-DRC-1","biomass_unloading","Hurst Boiler Biomass Fuel Unloading (JGS420)","","","","","EU-239-DRC-1"
"EP-239-5 EU 239-DRC-2","ag_fuel_storage_bins","Ag Fuel Storage Bin (JGS420)","","","","","EU-239-DRC-2"
"EP-239-6 EU-239-GEN-2 1500 kW Emergency Generator","generators","A 1500 kW emergency generator at the Oakdale Campus.","1500","kW","","","EU-239-AST-1, EU-239-AST-2"
"EP-239-BLR-5","boilers","Hurst Boiler # 5 (JGS420)","","","","","EU-OD#5"
"EP-239-GSFR-1","boilers","Gasifier (JGS420)","","","","","EU-GSFR-1"
"EP-240-1 EU 240-CT-1","cooling_towers","Cooling Tower 1 (JGS420)","","","","","EU-240-CT-1"
"EP-240-1 EU-240-GEN-1 OREP Engine 1","generators","A generator at the Oakdale Campus.","","","","","EU-240-AST-1"
"EP-240-2 EU 240-CT-2","cooling_towers","Cooling Tower 2 (JGS420)","","","","","EU-240-CT-2"
"EP-240-3 EU 240-CT-3","cooling_towers","Cooling Tower 3 (JGS420)","","","","","EU-240-CT-3"
"EP-274-2 EU-274-GEN-2","boilers","Slater Hall Generator 250 kW","","","","","EU-274-GEN-2"
"EP-290-1 EU-290-GEN-1","boilers","ITF Generator 300 kW","","","","","EU-290-GEN-1"
"EP-2 EU2-1","boilers","General Hospital Generator","","","","","EU2-1"
"EP-308-1 EU-308-GEN-1","boilers","WCCWP Generator 300 kW","","","","","EU-308-GEN-1"
"EP-308-1 EU-308-GEN-1 WCCWP Generator","generators","A generator at the Water Conservation and Climate Protection (WCCWP) facility.","","","","","EU-308-AST-1"
"EP-308-2 EU 308-CT-1","cooling_towers","WCCWP Cooling Tower 1 (JGS420)","","","","","EU-308-CT-1"
"EP-308-3 EU 308-CT-2","cooling_towers","WCCWP Cooling Tower 2 (JGS420)","","","","","EU-308-CT-2"
"EP-308-4 EU 308-CT-3","cooling_towers","WCCWP Cooling Tower 3 (JGS420)","","","","","EU-308-CT-3"
"EP-374-2 EU-374-GEN-2","boilers","CHA Generator 260 kW","","","","","EU-374-GEN-2"
"EP-418-1 EU-418-GEN-1","boilers","IATL Generator","","","","","EU-418-GEN-1"
"EP-422-1 EU 422-CT-1","cooling_towers","Chilled Water Plant 4 Cooling Tower","","","","","EU-422-CT-1"
"EP-435-2 EU-435-GEN-2","boilers","MTF Diesel Generator 500 kW","","","","","EU-435-GEN-2"
"EP-455-1 EU-455-GEN-1","boilers","CBRB Generator 250 kW","","","","","EU-455-GEN-1"
"EP-52 EU52-1","boilers","IRL ACCF Generator","","","","","EU52-1"
"EP-5 EU5-1","boilers","JCP West Generator","","","","","EU5-1"
"EP-62 EU62-GEN-1","boilers","UIHC Centralized Emergency Power Generator 1","","","","","EU62-GEN-1"
"EP-63 EU63-GEN-1","boilers","UIHC Centralized Emergency Power Generator 2","","","","","EU63-GEN-1"
"EP-64 EU64-GEN-1","boilers","UIHC Centralized Emergency Power Generator 3","","","","","EU64-GEN-1"
"EP-674-4 EU-674-GEN-1","boilers","Emergency Diesel Generator West 600 kW","","","","","EU-674-GEN-1"
"EP-674-5 EU-674-GEN-2","boilers","Emergency Diesel Generator East 800 kW","","","","","EU-674-GEN-2"
"EP-68 EU68-GEN-1","boilers","UIHC Integrated Services Center Generator 250 kW","","","","","EU-68-GEN-1"
"EP-6 EU6-1","boilers","JCP East Generator","","","","","EU6-1"
"EP-70 EU70-GEN-1","boilers","UIHC Centralized Emergency Power Generator 4","","","","","EU70-GEN-1"
"EP-71 EU71-GEN-1","boilers","UIHC Centralized Emergency Power Generator 5","","","","","EU71-GEN-1"
"EP-7 EU7-1","boilers","John Pappajohn Pavilion Generator","","","","","EU7-1"
"EP-8 EU8-1","boilers","South Wing Generator","","","","","EU8-1"
"EP-PP03 EU-PP03","boilers","Boiler No.7 (JGS420)","","","","","EU-PP03"
"EP-PP04 EU-PP04","boilers","Boiler No.8 (JGS420)","","","","","EU-PP04"
"EP-PP06 EU-PP06","boilers","Boiler No.10 (JGS420)","","","","","EU-PP06"
"EP-PP07 EU-PP07","boilers","Boiler No.11 (JGS420)","","","","","EU-PP07"
"EP-PP08 EU-PP08","coal_crushers","Coal Crusher # 1 (JGS420)","","","","","EU-PP08"
"EP-PP09 EU-PP09","coal_crushers","Coal Crusher # 2 (JGS420)","","","","","EU-PP09"
"EP-PP10 EU-PP10","coal_silos","Coal Silo # 1 (JGS420)","","","","","EU-PP10"
