"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-070-MET-1","metal_working_equipment","Metal Working Equipment (Disc/Belt Sander, Disc Sander, Grinder, Chop Saw, and Bead Blaster)","18","lb/hr","","","CE-070-MET-1"
"EU-070-MIX-1","mixer","Mixer","","","36900","lb/hr","CE-070-MIX-1"
"EU-070-SPRAY-1","spray_booth","Spray Booth","","","850","gal/hr","CE-070-4"
"EU-070-SPRAY-2","spray_booth","Spray Booth","","","850","gal/hr","CE-070-5"
"EU-108-GEN-1","emergency_generator","Emergency Generator - 134 bhp","134","bhp","","","CE-108-GEN-1"
"EU-109-GEN-3","emergency_generator","Emergency Generator - 308 bhp","308","bhp","","","CE-109-GEN-3"
"EU-110-GEN-1","emergency_generator","Emergency Generator - 134 bhp","134","bhp","","","CE-110-GEN-1"
"EU-115-BLR-1","boiler","NFH Boiler 1 (Natural gas, 3.27 MMBtu/hr)","3.27","MMBtu/hr","","","CE-115-BLR-1"
"EU-115-BLR-2","boiler","NFH Boiler 2 (Natural gas, 3.27 MMBtu/hr)","3.27","MMBtu/hr","","","CE-115-BLR-2"
"EU-115-GEN-2","emergency_generator","Emergency Generator - 40 bhp","40","bhp","","","CE-115-GEN-2"
"EU-12-GEN-1","emergency_generator","Emergency Generator - 201 bhp","201","bhp","","","CE-12-GEN-1"
"EU-174-BLR-1","boiler","Panther Village Boiler 1 (Natural gas, 1.00 MMBtu/hr)","1","MMBtu/hr","","","CE-174-BLR-1"
"EU-174-BLR-2","boiler","Panther Village Boiler 2 (Natural gas, 1.00 MMBtu/hr)","1","MMBtu/hr","","","CE-174-BLR-2"
"EU-174-BLR-3","boiler","Panther Village Boiler 3 (Natural gas, 1.25 MMBtu/hr)","1.25","MMBtu/hr","","","CE-174-BLR-3"
"EU-174-BLR-4","boiler","Panther Village Boiler 4 (Natural gas, 1.25 MMBtu/hr)","1.25","MMBtu/hr","","","CE-174-BLR-4"
"EU-175-GEN-1","emergency_generator","Emergency Generator - 168 bhp","168","bhp","","","CE-175-GEN-1"
"EU-180-GEN-1","emergency_generator","Emergency Generator - 757 bhp","757","bhp","","","CE-180-GEN-1"
"EU-190-DC-1","carpentry","Carpenter Shop (Disc Sander, Disc/Belt Sander, Band Saw, Surface Planer, Table Saw / Router, Joiner, Table Saw, Miter, Box Saw, Radial Arm Saw, Surface Sander and Floor Skimmer)","36.9","lb/hr","","","CE-190-DC-1"
"EU-190-GEN-1","emergency_generator","Emergency Generator - 27 bhp","27","bhp","","","CE-190-GEN-1"
"EU-201-GEN-1","emergency_generator","Emergency Generator - 100 bhp","100","bhp","","","CE-201-GEN-1"
"EU-202-GEN-2","emergency_generator","Emergency Generator - 134 bhp","134","bhp","","","CE-202-GEN-2"
"EU-210-GEN-1","emergency_generator","Emergency Generator - 201 bhp","201","bhp","","","CE-210-GEN-1"
"EU-224-GEN-1","emergency_generator","Emergency Generator - 100 bhp","100","bhp","","","CE-224-GEN-1"
"EU-24-GEN-1","emergency_generator","Emergency Generator - 134 bhp","134","bhp","","","CE-24-GEN-1"
"EU-303-GEN-1","emergency_generator","Emergency Generator - 47 bhp","47","bhp","","","CE-303-GEN-1"
"EU-305-GEN-2","emergency_generator","Emergency Generator - 103 bhp","103","bhp","","","CE-305-GEN-2"
"EU-305-MIX-3","mixer","Tinker Omega Mixer (400 ft³/min)","400","ft³/min","","","CE-305-MIX-3"
"EU-305-MULL-1","mixer","Tinker Omega Mixer (400 ft³/min)","400","ft³/min","","","CE-305-MULL-1"
"EU-305-MULL-2","mixer","Simpson Wheel Muller (660 ft³/min)","660","ft³/min","","","CE-305-MULL-2"
"EU-305-TEST-1","testing_unit","Environmental Testing Unit (850 ft³/min)","850","ft³/min","","","CE-305-TEST-1"
"EU-30-GEN-2","emergency_generator","Emergency Generator - 174 bhp","174","bhp","","","CE-30-GEN-2"
"EU-311-GEN-1","emergency_generator","Emergency Generator - 10 bhp","10","bhp","","","CE-311-GEN-1"
"EU-312-GEN-1","emergency_generator","Emergency Generator - 25 bhp","25","bhp","","","CE-312-GEN-1"
"EU-58-GEN-1","emergency_generator","Emergency Generator - 635 bhp","635","bhp","","","CE-58-GEN-1"
"EU-62-GEN-2","emergency_generator","Emergency Generator - 320 bhp","320","bhp","","","CE-62-GEN-2"
"EU-70-GEN-1","emergency_generator","Emergency Generator - 40 bhp","40","bhp","","","CE-70-GEN-1"
