"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-199-ASH-5A","conveying system","#3 Coal Ash Conveyor System","10","tons/hr","","","CE-199-5A1, CE-199-5A2, CE-199-5A3"
"EU-199-ASH-6B","silo and baghouse system","#4 Ash Silo and Baghouse System","12","tons/hr","","","CE-199-6B, CE-199-6C"
"EU-199-AST-11","storage tank","Fuel Oil Storage Tank - Bin Vent Filter","474776","gallons","","","CE-199-12"
"EU-199-BLR-1","boilers","Boiler #1","","","","","CE-199-3"
"EU-199-BLR-2","boilers","Boiler #2","","","","","CE-199-3"
"EU-199-BLR-3","boilers","Boiler #3","","","","","CE-199-4"
"EU-199-BLR-4","boilers","Boiler #4","","","","","CE-199-4"
"EU-199-CHS-8A","coal handling system","Plant Coal Handling System - Baghouse","100","tons/hr","","","CE-199-8A2"
"EU-199-CT-1","cooling tower","Cooling Tower (3 cells)","7005","gal/min","","","CE-199-16"
"EU-199-DSI-12","bin vent filter system","DSI Silo #1 Bin Vent Filter System","50000","lb/hr","","","CE-199-12"
"EU-199-LIME-7","silo and baghouse system","#4 Limestone System - Silo and Baghouse Bin Vent","250","tons/hr","","","CE-199-7"
