"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-20","paint_kitchen","Paint Kitchen","","","","",""
"EP-21","wash_bay","Manual Wash Bay 1","20","gal/hr","","",""
"EP-27","wash_bay","Wash Bay","20","gal/hr","","",""
"EP-28","oven","Dry Off Oven","1.0","MMBtu/hr","","",""
"EP-32","paint_booth","Paint Booth #5 - MEK Flush","1.0","MMBtu/hr","","","CE-32"
"EP-32B","paint_booth","Paint Booth #5 Cure Oven","3.6","MMBtu/hr","","",""
"EP-38","paint_kitchen","Paint Kitchen (Cinder Block Building)","","","","",""
"EP-3A","paint_booth","Paint Booth #3 - MEK Flush","","","","","CE-3"
"EP-4","paint_booth","Paint Booth #4 - Paint Coating","","","","","CE-4"
"EP-5","welding","Gas Metal Arc Welding of Carbon Steel","106","lb/hr","925000","lb/yr",""
"EP-8","other","Caulking","0.407","gal/hr","","",""
"EP-9","paint_booth","Clear Booth Coating","0.04","gal/hr","","",""
"EP-C1","cure_oven","Powder-Coat Cure Oven","10.5","MMBtu/hr","","",""
"EP-C2","cure_oven","Paint Line #3 Cure Oven","1.2","MMBtu/hr","","",""
"EP-D1","oven","Dry Off Oven","2.4","MMBtu/hr","","",""
"EP-W3A","washer","Four Stage Washer - Stack 1 - Washing Solution","10","gal/hr","","",""
"EP-W3B","washer","Four Stage Washer - Stack 2 - Washing Solution","10","gal/hr","","",""
"EP-W3C","heater","Four Stage Washer - Propane Heater Stack 1","3","MMBtu/hr","","",""
"EP-W3D","heater","Four Stage Washer - Propane Heater Stack 2","1.35","MMBtu/hr","","",""
"EU-32A","paint_booth","Paint Booth #5 - Paint Coating","1.0","MMBtu/hr","","","CE-32"
"EU-32C","paint_booth","Paint Booth #5 - Rust Inhibitor Coating","1.0","MMBtu/hr","","","CE-32"
"EU-32D","cure_oven","Paint Booth #5 - Cure Oven (in the booth)","1.0","MMBtu/hr","","",""
"EU-3A","paint_booth","Paint Booth #3 - Paint Coating","","","","","CE-3"
"EU-3C","paint_booth","Paint Booth #3 - Rust Inhibitor Coating","","","","","CE-3"
"EU-4A","paint_booth","Paint Booth #4 - Paint Coating","","","","","CE-4"
"EU-4B","cure_oven","Paint Booth #4 - Cure Oven (in the booth)","1.0","MMBtu/hr","","",""
"EU-4C","paint_booth","Paint Booth #4 - MEK Flush","","","","","CE-4"
