"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"4L-BBU79","batching_station","Tank 79 Batching Station with associated control equipment (CE 2)","","","","","CE-4L-BBU79"
"4L-TK79","storage_tank","Tank 79 with associated control equipment (CE 2)","6000","gallons","","","CE-4L-TK79"
"B14-LO1","loadout","4L and South Flowable Product Loadout with associated control equipment (CE 2)","","","","","CE-B14-LO1"
"B17-LO1","loadout","Building 17 Truck Loadout with associated control equipment (CE 2)","","","","","CE-B17-LO1"
"B21-E","storage_tank","Building 21 Storage Tank with associated control equipment (CE 2)","","","","","CE-B21-E"
"B2-OH-Heater","heater",".25 MMBtu/hr OH heater with associated control equipment (CE 2)","","","","","CE-B2-OH-Heater"
"B34-OH-Heaters","heater",".1 MMBtu/hr OH heaters with associated control equipment (CE 2)","","","","","CE-B34-OH-Heaters"
"B35-OH-Heaters","heater",".165 MMBtu/hr OH heaters with associated control equipment (CE 2)","","","","","CE-B35-OH-Heaters"
"B38-OH-Heaters","heater",".1 MMBtu/hr OH heaters with associated control equipment (CE 2)","","","","","CE-B38-OH-Heaters"
"B40-OH-Heater","heater",".193MMBtu/hr OH heater with associated control equipment (CE 2)","","","","","CE-B40-OH-Heater"
"B41-OH-Heater","heater",".115MMBtu/hr OH heater with associated control equipment (CE 2)","","","","","CE-B41-OH-Heater"
"B42-OH-Heater","heater",".145 MMBtu/hr OH heater with associated control equipment (CE 2)","","","","","CE-B42-OH-Heater"
"B43-OH-Heaters","heater",".165 MMBtu/hr OH heaters with associated control equipment (CE 2)","","","","","CE-B43-OH-Heaters"
"B44-OH-Heaters","heater",".1 MMBtu/hr OH heaters with associated control equipment (CE 2)","","","","","CE-B44-OH-Heaters"
"B5-OH-Heater","heater",".125 MMBtu/hr OH heater with associated control equipment (CE 2)","","","","","CE-B5-OH-Heater"
"B8-OH-Heater","heater",".0025MMBtu/hr OH heater with associated control equipment (CE 2)","","","","","CE-B8-OH-Heater"
"B9-OH-Heater","heater",".25 MMBtu/hr OH heater with associated control equipment (CE 2)","","","","","CE-B9-OH-Heater"
"COMP3","other","Diesel powered portable air compressor with associated control equipment (CE 2)","","","","","CE-COMP3"
"DF10-Furnace","boiler","Natural gas furnace for dryer with associated control equipment (CE 2)","","","","","CE-DF10-Furnace"
"DF11-Furnace","boiler","Natural gas furnace for dryer with associated control equipment (CE 2)","","","","","CE-DF11-Furnace"
"DF8-Furnace","boiler","Natural gas furnace for dryer with associated control equipment (CE 2)","","","","","CE-DF8-Furnace"
"DF9-Furnace","boiler","Natural gas furnace for dryer with associated control equipment (CE 2)","","","","","CE-DF9-Furnace"
"DF-9-RTO","scrubber","Natural gas fired control device with associated control equipment (CE 2)","","","","","CE-DF9-RTO"
"EC17-1000","equipment_leak","Bulk Bag Unloader with associated control equipment (CE 5)","","","","","CE-17-1000"
"EP4L-BH1","storage_tank","4L Box Tank 1 for Vibratory Screener with associated control equipment (CE 2)","","","","","CE-4L-BH1"
"Portable Air Compressor","other","Diesel powered portable air compressor with associated control equipment (CE 2)","","","","","CE-Portable-Air-Compressor"
"TK-695","storage_tank","Batch Tank with associated control equipment (CE 2)","6900","gallons","","","CE-17-695"
"TK-696","storage_tank","Premix Tank with associated control equipment (CE 2)","6900","gallons","","","CE-17-696"
