"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1.AG1","paint_booth","Surface Coating Operations - Paint Booth","","","","","CE-1.AG1"
"EU-1.AG2","paint_booth","Surface Coating Operations - Paint Booth","","","","","CE-1.AG2"
"EU-1.HH","generator","Generator - IT Engine Generator","1141","bhp","","","CE-1.HH"
"EU-1.K","paint_booth","Surface Coating Operations - Paint Booth","","","","","CE-1.K"
"EU-1.PB1","paint_booth","Surface Coating Operations - Paint Booth","","","","","CE-1.PB1"
"EU-2.AF","paint_kitchen","Surface Coating Operations - Paint Kitchen","","","","","CE-2.AF"
"EU-2.AG","paint_kitchen","Surface Coating Operations - Paint Kitchen","","","","","CE-2.AG"
"EU-2.AI1","paint_booth","Surface Coating Operations - Paint Finish Booth","","","","","CE-2.AI1"
"EU-2.AI2","paint_booth","Surface Coating Operations - Paint Finish Booth","","","","","CE-2.AI2"
"EU-2.F1","paint_booth","Surface Coating Operations - Paint Finish Booth","","","","","CE-2.F1"
"EU-2.F2","paint_booth","Surface Coating Operations - Paint Finish Booth","","","","","CE-2.F2"
"EU-2.H","paint_booth","Surface Coating Operations - Parts Paint Booth","","","","","CE-2.H"
"EU-2.I","paint_oven","Paint Oven - Paint Oven","","","","",""
"EU-2.II","paint_oven","Paint Ovens - Paint Oven","5.2","MMBtu/hr","","","CE-2.I"
"EU-3.F1","paint_booth","Surface Coating Operations - Paint Booth","","","","","CE-3.F1"
"EU-3.F2","paint_booth","Surface Coating Operations - Paint Booth","","","","","CE-3.F2"
"EU-3.GH","paint_kitchen","Surface Coating Operations - Paint Kitchen","","","","","CE-3.GH"
"EU-3.GI","paint_kitchen","Surface Coating Operations - Paint Kitchen","","","","","CE-3.GI"
"EU-3.HH","paint_booth","Surface Coating Operations - Parts Paint Booth","","","","","CE-3.HH"
"EU-3.II","paint_booth","Surface Coating Operations - Parts Paint Booth","","","","","CE-3.II"
"EU-3.JJ","paint_oven","Paint Ovens - Paint Oven","2.6","MMBtu/hr","","","CE-3.JJ"
"EU-3.KK","paint_kitchen","Surface Coating Operations - Paint Kitchen","","","","","CE-3.KK"
"EU-3.MM","paint_oven","Paint Ovens - Paint Oven","2.6","MMBtu/hr","","","CE-3.MM"
"EU-4.PB10A","paint_booth","Surface Coating Operations - Primer Paint Booth","","","","",""
"EU-4.PB10B","paint_booth","Surface Coating Operations - Primer Paint Booth","","","","",""
"EU-4.PB11A","paint_booth","Surface Coating Operations - Finish Paint Booth","","","","",""
"EU-4.PB11B","paint_booth","Surface Coating Operations - Finish Paint Booth","","","","",""
"EU-4.PB12A","paint_booth","Surface Coating Operations - Finish Paint Booth","","","","",""
"EU-4.PB12B","paint_booth","Surface Coating Operations - Finish Paint Booth","","","","",""
