"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-17A","other","Fugitive HAPs Emissions from Toluene Handling","8760.0","hr/yr","","",""
"EP-I1 & EP-I2","other","Emergency Fire Pump and Generator","208","hp","","",""
"EU-01 & EU-02","boilers","Two Steam Boilers","51.0","MMBtu/hr","","",""
"EU-05","drying","Fluid-Bed Dryer","1449","lb/hr","","","CE-04"
"EU-07","storage","Product Hopper","25000","lb/hr","","","CE-07"
"EU-14","other","Spray Dryer","75.0","lb/hr","","","CE-14"
"EU-16","storage","Decane Tank","","","","",""
"EU-16A","baghouse","Truck Loadout Dust Collector","6200","lb/hr","","","CE-15"
"EU-17","storage","Toluene Tank","","","","",""
"EU-18, EU-19, EU-20, EU-50","storage","Storage Silos and Associated Fabric Filters","1500","kg/hr","","","CE-06"
"EU-21","storage","Start-up and Shut-down Tank","6200","lb/hr","","",""
"EU-23, EU-24, EU-25, EU-26, EU-27, EU-28, EU-29, EU-30, EU-31, EU-32, EU-33, EU-34, EU-35, EU-40, EU-41, EU-42, EU-43, EU-44, EU-45, EU-46, EU-47, EU-49, EU-51, EU-52, EU-53, EU-54, EU-55","other","Various Reactors and Tanks","","","9000","metric tons/12 months rolling period",""
"EU-37","storage","1-Decanol Tank","2200","gal","","","CE-09"
