"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-10","boilers","Stationary Diesel Engine","74.31","MMBtu/hr","","","CE-10"
"EU-11","boilers","Diesel Engine/Generator","16.68","MMBtu/hr","","","CE-11"
"EU-12","boilers","Diesel Engine/Generator","16.68","MMBtu/hr","","","CE-12"
"EU-13","boilers","Diesel Engine/Generator","16.68","MMBtu/hr","","","CE-13"
"EU-14","boilers","Diesel Engine/Generator","16.68","MMBtu/hr","","","CE-14"
"EU-15","boilers","Diesel Engine/Generator","16.68","MMBtu/hr","","","CE-15"
"EU-16","boilers","Diesel Engine/Generator","16.68","MMBtu/hr","","","CE-16"
"EU-17","boilers","Stationary Dual Fuel Engine","16.68","MMBtu/hr","","","CE-17"
"EU-18","boilers","Stationary Dual Fuel Engine","16.68","MMBtu/hr","","","CE-18"
"EU-19","boilers","Stationary Dual Fuel Engine","16.68","MMBtu/hr","","","CE-19"
"EU-20","boilers","Stationary Dual Fuel Engine","16.68","MMBtu/hr","","","CE-20"
"EU-7","boilers","Stationary Dual Fuel Engine","37.15","MMBtu/hr","","","CE-7A, CE-7B"
"EU-8","boilers","Stationary Dual Fuel Engine","39.81","MMBtu/hr","","","CE-8, CE-9"
"EU-9","boilers","Stationary Dual Fuel Engine","39.81","MMBtu/hr","","","CE-8, CE-9"
"EU-B1","storage","Storage Tank 1 (12,000 gallons)","","","","",""
"EU-B2","storage","Storage Tank 2 (12,000 gallons)","","","","",""
"EU-G1","boilers","Generac Emergency Generator (<400 BHP)","2.11","MMBtu/hr","","",""
"EU-T1","storage","Fuel Oil Tank (25,000 gallons)","","","","",""
