"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1-1","mixer","OMCO Mixer","","","","","CE-1-1"
"EU-15-1","mixer","Palmer Mixer","","","","","CE-1-1"
"EU-15-1A","mixer","15-1 Palmer Mixer","4.2","tons/hr","","","CE-15-1A"
"EU-16-1","mixer","250 Mixer","","","","","CE-1-1"
"EU-18-1","spray booth","Chill Spray Booth","245","lb/hr","","","CE-18-1"
"EU-2-1","core station","South Bench Core Station","0.145","tons/hr sand","","","CE-2-1"
"EU-21-1","furnace","(12 Pot Furnaces)","35.0","MMBtu/hr","","","CE-21-1"
"EU-2-2","core station","SANBLO Core Station","0.0141","tons/hr","","","CE-2-2"
"EU-23A","silo","Silo E (also exhausts through Emission Point 23)","174","tons/hr","","","CE-23A"
"EU-24-1","melting furnace","Aluminum Melting Furnaces (8 Tilter Furnaces)","35.0","MMBtu/hr","","","CE-24-1"
"EU-24-1A","melting furnace","Aluminum Melting Furnaces (8 Tilter Furnaces)","35.0","MMBtu/hr","","","CE-24-1A"
"EU-24-1B","melting furnace","Aluminum Melting Furnaces (12 Pot Furnaces)","35.0","MMBtu/hr","","","CE-24-1B"
"EU-28-1","blast cabinet","Wheelabrator Shot Blast Cabinet","","","","","CE-28-1"
"EU-29-1","mixer","EDC Mixer","7.4","tons/hr","","","CE-29-1"
"EU-32-1","furnace","(8 Tilter Furnaces)","35.0","MMBtu/hr","","","CE-32-1"
"EU-34-1","blower","Laempe Core Blower","1350","lb/hr","","","CE-34-1"
"EU-35-1","blower","Laempe Core Blower","1350","lb/hr","","","CE-35-1"
"EU-36-1","wood working","West Pattern Room Wood Working","200","lb/hr","","","CE-36-1"
"EU-37-1","wood working","Outer Pattern Room Wood Working","200","lb/hr","","","CE-37-1"
"EU-39-1","blast cabinet","Wheelabrator Blast Cabinet","10","tons/hr","","","CE-39-1"
"EU-45-2","blast cabinet","Wheelabrator Blast Cabinet","10","tons/hr","","","CE-45-2"
"EU-47-1","mixer","West Cell Mixer (also exhausts through Emission Point 50-1)","4.2","tons/hr","","","CE-47-1"
"EU-50-1","cleaning room","Cleaning and Grinding Room (also exhausts through Emission Point 88-1)","","","","","CE-50-1"
"EU-50-1A","cleaning room","Cleaning and Grinding Room (also exhausts through Emission Point 88-1)","","","","","CE-50-1A"
"EU-59-1","welding station","Welding Stations","","","","","CE-59-1"
"EU-6-1","mixer","450 Mixer","","","","","CE-1-1"
"EU-68-1","silo","EDC Silo G","2","tons/hr","","","CE-68-1"
"EU-71-1","silo","Silo A","120","tons/hr","","","CE-71-1"
"EU-72-1","silo","Silo B","120","tons/hr","","","CE-72-1"
"EU-74-1","silo","Silo E","174","tons/hr","","","CE-74-1"
"EU-74-1A","silo","Silo E (Vent Internally)","174","tons/hr sand","","","CE-74-1A"
"EU-75-1","silo","Silo F","65","tons/hr","","","CE-75-1"
"EU-81-1","tumbler","Inhibitor Tumbler","0.3","tons/hr","","","CE-81-1"
"EU-82-1","blower","Gaylord Core Blower","4.2","tons/hr","","","CE-82-1"
"EU-84-1","pouring station","Pouring Station","1.25","tons/hr","","","CE-84-1"
"EU-85-1","cooling station","Mold Cooling Station","35.0","MMBtu/hr","","","CE-85-1"
"EU-86-1","melting furnace","Aluminum Melting Furnaces (12 Pot Furnaces)","35.0","MMBtu/hr","","","CE-86-1"
"EU-88-1","mixer","Tinker Omega Mixer (also exhausts through Emission Point 93-1)","0.06","tons/hr","","","CE-88-1"
"EU-88-1A","mixer","Tinker Omega Mixer (also exhausts through Emission Point 93-1)","0.06","tons/hr","","","CE-88-1A"
"EU-91-1","blower","CB-10 Blower","0.17","tons/hr","","","CE-91-1"
"EU-92-1","blower","CB-5 Blower","0.17","tons/hr","","","CE-92-1"
"EU-93-1","mixer","300 Mixer (also exhausts through Emission Point 50-1)","9.4","tons/hr","","","CE-93-1"
"EU-93-1A","mixer","300 Mixer (also exhausts through Emission Point 50-1)","9.4","tons/hr","","","CE-93-1A"
"EU-96-1","reclaim","Simpson Sand Reclaim","0.57","tons/hr","","","CE-96-1"
"EU-97-1","silo","Silo J","2.0","tons/hr sand","","","CE-97-1"
"EU-98-1","silo","Silo K","2.0","tons/hr sand","","","CE-98-1"
"EU-99-1","printer","3D Core Printer","0.2","tons/hr","","","CE-99-1"
"EU-99-1A","printer","3D Core Printer (Vent Internally)","0.2","tons/hr sand","","","CE-99-1A"
