"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"967-P01-P","other","De-gas Fuel Inerting System","5","tanks/hr","","","967-P01-U"
"973-G01-P","storage","Rollcoater – Reactive Hot Melt Glue Machine","21","A/hr","","","973-G01-U"
"973-O04-P","other","Rotocast 1500 Oven Exhaust","1.5","MMBtu/hr","","","973-O04-U"
"973-O06-P","other","Rotocast 1500 Oven Exhaust","1.5","MMBtu/hr","","","973-O06-U"
"973-O08-P","other","Rotocast 430 Oven Exhaust","5.6","MMBtu/hr","","","973-O08-U"
"973-S01-P","packaging","Customer Service Dry Filter Paint Booth - West Stack","17000","scfm/hr","","","973-S01-U"
"973-S05-P","drying","Van Shop Surface Preparation Booth Exhaust","17000","scfm/hr","","","973-S05-U"
"977-C06-P","other","Electrocoat Tube Heat Exchanger","3.8","MMBtu/hr","","","977-C06-U"
"977-C07-P","other","Electrocoat Tube Heat Exchanger","2.5","MMBtu/hr","","","977-C07-U"
"977-F10-P","other","Electrocoat Tank Fugitives","9500","gal","","","977-F10-U"
"977-O10-P","boiling","Electrocoat Bake Oven Zone 2 Exhaust","3.0","MMBtu/hr","","","977-O10-U"
"977-O11-P","boiling","Electrocoat Bake Oven Zone 1 Exhaust","2.0","MMBtu/hr","","","977-O11-U"
"977-O12-P","boiling","Powder Coat Bake Oven (IR) Exhaust","3.0","MMBtu/hr","","","977-O12-U"
"977-O14-P","boiling","Powder Coat Bake Oven Cure Exhaust","3.0","MMBtu/hr","","","977-O14-U"
"978-P01-P","cutting","Laser Cutting Machine Exhaust","","","","","978-P01-U"
"979-D01-P","drying","Foam Shaping Process (4 routers, 4 saws, 2 grinders, and 1 foam densifier)","6.25","panels/hr","","","979-D01-U"
"981-D01-P","drying","North Sawmill Dust Collector Exhaust","","","","","981-D01-U"
"981-D03-P","drying","South Sawmill Dust Collector Exhaust","","","","","981-D03-U"
"981-G04-P","storage","Sawmill Glue Machine Exhaust Stack – Roll Applicator","","","","","981-G04-U"
"982-S10-P","packaging","Model Shop Paint Booth","7","gal/hr","","","982-S10-U"
"984-S03-P","packaging","Custom Shells Booth #1","7.5","gal/hr","","","984-S03-U"
"984-S04-P","packaging","Custom Shells Booth #2","7.5","gal/hr","","","984-S04-U"
"987-S01-P","packaging","Maintenance Dry Filter Spray Booth","1250","gal/hr","","","987-S01-U"
"987-S02-P","packaging","Full Body Paint – Basecoat Spray Booth","21","gal/hr","","","987-S02-U"
"987-S03-P","packaging","Full Body Paint – Clearcoat Spray Booth","25600","scfm/hr","","","987-S04-U"
"987-S04-P","packaging","Full Body Paint – Clearcoat Spray Booth","1.25","gal/hr","","","987-S04-U"
"990-O03-P","boiling","Powder Paint Cure Oven Exhaust","4.0","MMBtu/hr","","","990-O03-U"
"990-W05-P","other","Powder Paint Washer Burner Exhaust","1.5","MMBtu/hr","","","990-W05-U"
"CCEG-P","other","Computer Center Emergency Generator","300","hp","","","CCEG-U"
