"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-10","spray_booth","Stain Booth","1800","oz/hr","","","CE-10A, CE-10B"
"EU-13","spray_booth","Studio Booth","720","oz/hr","","","CE-13A, CE-13B"
"EU-14","spray_booth","Custom Booth","1800","oz/hr","","","CE-14A, CE-14B"
"EU-16","adhesive_application","Adhesive Application 03-A-1248","4.73","gal/hr","","","CE-16"
"EU-19","drying","Stain Booth","5.53","gal/hr","","","CE-19"
"EU-24","storage","Pump Room/Inventory Holding Area 00-A-723-S2, 00-A-724-S2","","","","","CE-24A, CE-24B"
"EU-25","drying","Various Woodworking Processes","900","parts/hr","","","CE-25"
"EU-26","putty_application","Putty Application 14-A-630","0.1","gal/hr","","","CE-26"
"EU-28","spray_booth","Spray Booth 28","720","oz/hr","","","CE-28A, CE-28B"
"EU-29","spray_booth","Spray Booth 29","720","oz/hr","","","CE-29A, CE-29B"
"EU-3","spray_booth","Stain Booth","30","fl oz/min","","","CE-3A, CE-3B"
"EU-30","spray_booth","Flat Line Spray Booth #1","56","fl oz/min","","","CE-30A, CE-30B"
"EU-32","spray_booth","Spray Booth 32","720","oz/hr","","","CE-32A, CE-32B"
"EU-33","coating_application","UV Mist Coater","8","spray guns","","","CE-33A, CE-33B"
"EU-34","curing","UV Cure Oven 07-A-1075-S1","","","","","CE-34"
"EU-36","cleaning","Cleaning Unit 14-A-630","3","gal/min","","","CE-36"
"EU-38","spray_booth","Flat Line Spray Booth #2","112","oz/min","","","CE-38A, CE-38B"
"EU-39","drying","Flat Line Drying Oven 14-A-630","","","","","CE-39"
"EU-4","welding","Weld Bench 94-A-483-S3","675","IPM Welding Wire","","","CE-4"
"EU-40","drying","Linear High Velocity Oven","16","MMBTU/hr","","","CE-40"
"EU-43","drying","Drying Oven (Flexi Oven) 14-A-630","0.635","MMBtu/hr","","","CE-43"
"EU-44","drying","Fast Dry Oven 14-A-630","0.16","MMBtu/hr","","","CE-44"
"EU-5","drying","Various Woodworking Processes","","","1900","parts/hr","CE-47"
"EU-7","drying","Various Woodworking Processes","","","700","parts/hr","CE-48"
"EU-8","spray_booth","Topcoat Booth","1800","oz/hr","","","CE-8A, CE-8B"
"EU-9","spray_booth","Sealer Booth","1800","oz/hr","","","CE-9A, CE-9B"
"EU-EG","generator","Emergency Generator 03-A-1248","103","bhp","","","CE-EG"
