"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-M101","molding","Mold 101","","","125","pounds/hr of resin","CE-VAC110"
"EU-M102","molding","Mold 102","","","125","pounds/hr of resin","CE-VAC110"
"EU-M103","molding","Mold 103","","","125","pounds/hr of resin","CE-VAC110"
"EU-M104","molding","Mold 104","","","125","pounds/hr of resin","CE-VAC110"
"EU-M105","molding","Mold 105","","","125","pounds/hr of resin","CE-VAC110"
"EU-M106","molding","Mold 106","","","125","pounds/hr of resin","CE-VAC110"
"EU-M107","molding","Mold 107","","","125","pounds/hr of resin","CE-VAC110"
"EU-M108","molding","Mold 108","","","125","pounds/hr of resin","CE-VAC110"
"EU-M109A","molding","Mold 109A & Small Parts Area","","","125","pounds/hr of resin","CE-VAC110"
"EU-M109B","molding","Mold 109B","","","125","pounds/hr of resin","CE-VAC110"
"EU-M109C","molding","Mold 109C","","","125","pounds/hr of resin","CE-VAC110"
"EU-M110","grinding/cutting","Grinding and Cutting Operations","","","0.6","lb/hr of laminate","CE-VAC110"
"EU-Tank1","storage","Polyester Resin Storage Tank (5640 gal.)","","","0.0084","lb/hr of resin",""
"EU-Tank2","storage","Polyester Resin Storage Tank (5640 gal.)","","","0.0084","lb/hr of resin",""
"MISC-VOC","other","Miscellaneous Manufacturing Aids (20,000 lb/yr)","","","10.0","tons/yr of VOC materials",""
