"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-100","spray_area","Resin Usage – Hand Lay","14.0","gal/hr","","","CE-100"
"EU-101","spray_area","Miscellaneous Products","2.2","gal/hr","","","CE-101"
"EU-102","spray_area","Bed Liner Spray Area","20.0","gal/hr","","","CE-102"
"EU-105","storage","Resin and Gelcoat Storage Containers","5.0","gallon pails and drums","","","CE-105"
"EU-11","storage","Bulk Resin Storage Tank (5,300 gallons)","5300.0","gallons","","",""
"EU-13","cutting","Cutting Booth","32.0","molded fiberglass units/day","","","CE-13"
"EU-14","cure_oven","Boom Winding Process Cure Oven #1","378.8","lbs/hr (Resin and Hardener Combined)","","",""
"EU-15","sanding","Sanding Booth","50.0","ft/hr","","","CE-15"
"EU-204","boiler","Pump House Diesel Engine","185.0","HP","","","CE-204"
"EU-3","spray_area","Gelcoat Spray Area","","","","","CE-3"
"EU-4","spray_area","Resin (Skin Layer) Spray Area","30.0","gal/hr","","","CE-4"
"EU-6","spray_area","Resin (White Layer) Spray Area","30.0","gal/hr","","","CE-6"
"EU-7","grinding","Grind Booth","135.13","ft/hr","","","CE-7"
"EU-8","grinding","Grind Booth","227.45","ft/hr","","","CE-8"
