"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"100","drying","621 Dewatering Conveyor Baghouse","10000","lbs/hr","","",""
"103a","storage","Carbon Black Transfer Bin Vent","","","","",""
"103b","storage","Carbon Black Tower Bin Vent","","","","",""
"105","drying","71 Banbury Charging Baghouse and Pellet Storage Bins","10000","lbs/hr","","","CE105"
"106","drying","72 Banbury Charging Baghouse and Pellet Storage Bins","10000","lbs/hr","","","CE106"
"107","drying","73 Banbury Charging Baghouse and Pellet Storage Bins","10000","lbs/hr","","","CE107"
"108","drying","75 Banbury Charging Baghouse and Pellet Storage Bin","10000","lbs/hr","","","CE108"
"108B","drying","74 Banbury Charging Baghouse and Pellet Storage Bin","10000","lbs/hr","","","CE108-B"
"109","drying","Pellet Tower Slide Gates Baghouse","40000","lbs/hr","","","CE109"
"110","drying","77 Banbury Charging Baghouse","10000","lbs/hr","","","CE110"
"112","drying","73, 74 & 75 Banbury Dropgate","15000","lbs/hr","","",""
"113","boilers","Babcock & Wilcox #7 Boiler","120800","CFH","","",""
"145","drying","273 Banbury Charging Baghouse","12500","lbs/hr","","","CE145"
"146","drying","273 Banbury Dropgate Baghouse","12500","lbs/hr","","","CE146"
"147","drying","Remill Pellet Tumble Dryer Baghouse","12500","lbs/hr","","","CE147"
"148","drying","Remill Pellet Airveyor Baghouse","12500","lbs/hr","","","CE148"
"149","cooling","Caterpillar Model SR-4 Standby Generator","180000","Watts","","",""
"151","conditioning","Ozone Generator","4750","lbs/hr","","",""
"156","conditioning","Tuber #7 Cementing Operations","417000","treads/hr","","",""
"157f","conditioning","VacuBlast Mold Blaster","20000","lbs/hr","","",""
"169","drying","621 & 622 Banbury Ram Exhaust Air Process Cyclone Baghouse","4400","CFM","","","CE169"
"170-243, 186-197, 199-214, 216-220, 230-243, 256-262","conditioning","Curing Presses","","","","",""
"244","conditioning","Bladder Buffer","10000","lbs/hr","","",""
"245","conditioning","Tire Test Area Grinder","10000","lbs/hr","","",""
"246","processing","Welding Exhaust (Welding Wire)","150","lbs/hr","","",""
"247","conditioning","Vita-cap Curing New Large Kettle","10000","lbs/hr","","",""
"249","storage","Mixer 622 Day Bin","23","tons/hr","","","CE 249"
"250","storage","Carbon Black Tower Pressure Relief","","","","",""
"252","cooling","General Motors Model 6-71N-1063-7008 Fire Pump","4590","gal/hr","","",""
"269","cooling","Caterpillar Model D3412 Standby Generator","500000","Watts","","",""
"270","drying","Remill Pellet Bins Baghouse","60000","lbs/hr","","","CE270"
"271","cooling","Central Vacuum System","10000","lbs/hr","","",""
"272","drying","622 Banbury Charging and Dropgate Baghouse","10000","lbs/hr","","","CE272"
"273a - 273m","storage","Carbon Black Tower Bin Vents (26)","","","","",""
"273m","storage","622 Banbury Charging and Dropgate (Rubber/Carbon Black)","10000","lbs/hr","","",""
"274","drying","621 Banbury Charging and Dropgate Baghouse","10000","lbs/hr","","","CE274"
"275","storage","Mixer 621 Day Bin Vents (10)","","","","",""
"277","cooling","Cummins Model QSB7-G5 Emergency Generator","306200","Watts","","",""
"278","conditioning","Bladder Buffer #1","9000","lbs/hr","","",""
"35","conditioning","#1 4-Roll Calender","4750","lbs/hr","","",""
"36","conditioning","#2 4-Roll Calender","4750","lbs/hr","","",""
"37","conditioning","3 + 2 Calender","4750","lbs/hr","","",""
"42a","conditioning","#6 Tuber Cementing Operations","417000","treads/hr","","",""
"44","processing","Rubbish Packer with Baghouse (Solid Waste)","800","lbs/hr","","","CE44"
"45","drying","Banbury Dropgate #77 Pulsaire Baghouse","10000","lbs/hr","","","CE45"
"46","drying","#71 Discharge and Cooling Conveyor","5000","lbs/hr","","",""
"47","drying","#72 Discharge and Cooling Conveyor","5000","lbs/hr","","",""
"64a","conditioning","Cement Mixing Exhaust","219000","gal/hr","","",""
"64b","conditioning","Cement Mixing Exhaust","219000","gal/hr","","",""
"64c","conditioning","Cement Mixing Exhaust","219000","gal/hr","","",""
"71","drying","Pellet Airveyor F621 System Baghouse","10000","lbs/hr","","","CE71"
"72","drying","Pellet Airveyor F622 System Baghouse","10000","lbs/hr","","","CE72"
"82","receiving","Raw Material Receiving, Unloading & Storage Group","","","","",""
"83","receiving","Final Batch Auto Pigment Weigh Station","","","","",""
"86","boilers","Babcock & Wilcox #4 Boiler","96000","CFH","","",""
"87","boilers","Erie City #5 Boiler","136000","MMBtu/hr","","",""
"89","boilers","Babcock & Wilcox #6 Boiler","120800","CFH","","",""
"90","drying","622 Rubber Cooling Conveyor Baghouse","9000","lbs/hr","","","CE90"
"900","conditioning","Fugitive Emissions - Milling of Rubber","17642","lbs/hr","","",""
"901","conditioning","Fugitive Emissions - Extruding of Rubber","64000","lbs/hr","","",""
"902","conditioning","Fugitive Emissions - Tire Building","7500","gal/hr","","",""
"903","conditioning","Fugitive Emissions - Striping Ink","500","gal/hr","","",""
"92","drying","621 Rubber Cooling Conveyor Baghouse","9000","lbs/hr","","","CE92"
"94","receiving","Master Batch Hand Pigment Weigh Station","","","","",""
"95","drying","622 Dewatering Conveyor Baghouse","10000","lbs/hr","","",""
