"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU 01","receiving","Truck Receiving #1","","","20000","bushels/hr","CE C20"
"EU 02","receiving","Truck Receiving #2","","","20000","bushels/hr","CE C20"
"EU 03","receiving","Rail Receiving","","","20000","bushels/hr","CE C20"
"EU 04","receiving","Receiving Transfer Conveyor #1","","","20000","bushels/hr","CE C20"
"EU 05","receiving","Receiving Transfer Conveyor #2 (EP S20)","","","20000","bushels/hr","CE C20"
"EU 06","receiving","Bucket Elevator #1 (EP S25a)","","","20000","bushels/hr","CE C20"
"EU 07","receiving","Bucket Elevator #2 (EP S25a)","","","20000","bushels/hr","CE C20"
"EU 08","storage","East Silo (EP S30)","","","500000","bushels","CE C20"
"EU 09","storage","West Silo (EP S30)","","","500000","bushels","CE C20"
"EU 115, EU 116","drying","Protein Dryers A and B (Start-up stacks) – Natural Gas Combustion exhaust (EP S111 and EP S112)","46","MMBtu/hr","","","CE S111, CE S112"
"EU 133, EU 138, EU 139, EU 140","conditioning","Protein Reclaim Hopper and Conveyors (EP S170)","","","25000","bushels/hr","CE C140"
"EU 136, EU 137, EU 138, EU 139, EU 140","conditioning","Protein Silo Unloader Conveyor (EP S180)","","","25000","bushels/hr","CE C140"
"EU 138","conditioning","Protein Silo Unloader Conveyor (EP S140)","","","25000","bushels/hr","CE C140"
"EU 139, EU 140","conditioning","Protein Silo Unloader Conveyor (EP S140)","","","25000","bushels/hr","CE C140"
"EU FP","other","Fire Water Pump (EP F80)","300","bhp","","","CE FP"
"EU P25a","storage","Steel Grain Bin (EP S30)","","","180000","gallons","CE C20"
"EU P25b","storage","Steel Grain Bin (EP S30)","","","180000","gallons","CE C20"
"EU P70","cooling","DDGS Cooler (EP S40)","4000","bushels/hr","","","CE C70"
"EU S160","boilers","Natural Gas Boiler (EP T61, EP T62, EP T63, EP T64, EP T65)","147.4","MMBtu/hr","","","CE S160"
"EU T61, EU T62, EU T63, EU T64, EU T65","other","Methanators (EP SEP11)","30","kcf/hr","","","CE T61, CE T62, CE T63, CE T64, CE T65"
