"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-001","boilers","Reciprocating Engine, Caterpillar Model 3516","8.27","MMBtu/hr","","","CE-001"
"EU-002","boilers","Reciprocating Engine, Caterpillar Model 3516","8.27","MMBtu/hr","","","CE-002"
"EU-003","boilers","Reciprocating Engine, Caterpillar Model 3516","8.27","MMBtu/hr","","","CE-003"
"EU-004","boilers","Reciprocating Engine, Caterpillar Model 3516","8.27","MMBtu/hr","","","CE-004"
"EU-005","boilers","Reciprocating Engine, Caterpillar Model 3516","8.27","MMBtu/hr","","","CE-005"
"EU-006","boilers","Reciprocating Engine, Caterpillar Model 3516","8.27","MMBtu/hr","","","CE-006"
"EU-007","boilers","Reciprocating Engine, Caterpillar Model 3516","8.27","MMBtu/hr","","","CE-007"
"EU-008","boilers","Reciprocating Engine, Caterpillar Model 3516","8.27","MMBtu/hr","","","CE-008"
"EU-015","other","Crankcase Oil Breather Vent, w/ Solberg Oil Mist Eliminator 2332","","","16","gallons/month","CE-009"
"EU-016","other","Crankcase Oil Breather Vent, w/ Solberg Oil Mist Eliminator 2332","","","16","gallons/month","CE-010"
"EU-017","other","Crankcase Oil Breather Vent, w/ Solberg Oil Mist Eliminator 2332","","","16","gallons/month","CE-011"
"EU-018","other","Crankcase Oil Breather Vent, w/ Solberg Oil Mist Eliminator 2332","","","16","gallons/month","CE-012"
"EU-019","other","Crankcase Oil Breather Vent, w/ Solberg Oil Mist Eliminator 2333","","","16","gallons/month","CE-013"
"EU-020","other","Crankcase Oil Breather Vent, w/ Solberg Oil Mist Eliminator 2333","","","16","gallons/month","CE-014"
"EU-021","other","Crankcase Oil Breather Vent, w/ Solberg Oil Mist Eliminator 2333","","","16","gallons/month","CE-015"
"EU-022","other","Crankcase Oil Breather Vent, w/ Solberg Oil Mist Eliminator 2333","","","16","gallons/month","CE-016"
"EU-023","boilers","Reciprocating Engine, Caterpillar Model 3520","14.26","MMBtu/hr","","","CE-017, CE-018"
"EU-024","boilers","Reciprocating Engine, Caterpillar Model 3520","14.26","MMBtu/hr","","","CE-019, CE-020"
"EU-025","boilers","Reciprocating Engine, Caterpillar Model 3520","14.26","MMBtu/hr","","","CE-021, CE-022"
"EU-026","other","Crankcase Oil Breather Vent, w/ Solberg Oil Mist Eliminator 2522","","","1825","gallons/month","CE-023"
"EU-027","other","Crankcase Oil Breather Vent, w/ Solberg Oil Mist Eliminator 2522","","","1825","gallons/month","CE-024"
"EU-028","other","Crankcase Oil Breather Vent, w/ Solberg Oil Mist Eliminator 2522","","","1825","gallons/month","CE-025"
"EU-029","scrubbers","Parnell Biogas Dual Open Flare System","81.6","MMBtu/hr","","","CE-026, CE-027"
"EU-030","scrubbers","Parnell Biogas Dual Open Flare System","81.6","MMBtu/hr","","","CE-028, CE-029"
"EU-036","other","Crankcase Oil Breather Vent, w/ Solberg Oil Mist Eliminator 2522","","","1825","gallons/month","CE-023"
"EU-037","other","Crankcase Oil Breather Vent, w/ Solberg Oil Mist Eliminator 2522","","","1825","gallons/month","CE-024"
"EU-038","other","Crankcase Oil Breather Vent, w/ Solberg Oil Mist Eliminator 2522","","","1825","gallons/month","CE-025"
"EU-039","scrubbers","Parnell Biogas Dual Open Flare System","81.6","MMBtu/hr","","","CE-026, CE-027"
"EU-040","scrubbers","Parnell Biogas Dual Open Flare System","81.6","MMBtu/hr","","","CE-028, CE-029"
