"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP S10","oxidizers","DDGS Dryer A and B Oxidizer 1","","","","","CE C10"
"EP S100","emergency equipment","Emergency Fire Pump","200","bhp","","",""
"EP S120 & EU 120-121","baghouses","Grain Receiving Pit #3 and Baghouse","25000","bu/hr","","","CE C120"
"EP S15","baghouses","Grain Receiving Pit #1 and Baghouse","30000","bu/hr","","","CE C15"
"EP S160","boilers","Natural Gas Fired Auxiliary Boiler","40.19","MMBtu/hr","","",""
"EP S40 & EP S40B","wet scrubbers","Fermenters #1-#7 and Beer Well Wet Scrubbers","","","","","CE C40, CE C40B"
"EP S70 & EP S70B","baghouses","DDGS Cooler and Baghouse","","","","","CE C70, CE C70B"
"EP S90 & EP S91","baghouses","DDGS Loadout #1 (Truck) and Baghouse, DDGS Hopper Drag","","","","","CE C90, CE 91"
"EU 120","baghouses","Grain Receiving Pit #3 Baghouse","","","","","CE C120"
"EU 120 & EU 121","baghouses","Grain Receiving Pit #3 and Receiving Elevator #3 Baghouse","","","","","CE C120"
"EU 64-67 & EU P10C-D","methanation","Methanators and DDGS Dryers","","","","",""
"EU B10A","boilers","Heat Recovery Boiler A (TO/HRSG System 1)","147.4","MMBtu/hr","","",""
"EU B10B","boilers","Heat Recovery Boiler B (TO/HRSG System 2)","147.4","MMBtu/hr","","",""
"EU P10A","drying","DDGS Dryer A","","","","","CE C10"
"EU P10B","drying","DDGS Dryer B","","","","","CE C10"
"EU P10C & EU P10D","drying","DDGS Dryers C and D","","","","","CE C10"
