"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-001","storage","Storage Bin #1","","","","","BH-BV"
"EU-002","storage","Storage Bin #2","","","","","BH-BV"
"EU-003","storage","Storage Bin #3","","","","","BH-BV"
"EU-004","storage","Storage Bin #4","","","","","BH-BV"
"EU-005","storage","Storage Bin #5","","","","","BH-BV"
"EU-006","storage","Storage Bin #6","","","","","BH-BV"
"EU-007","storage","Storage Bin #7","","","","","BH-BV"
"EU-009","storage","Storage Bin #9","","","","","BH-BV"
"EU-010","storage","Storage Bin #10","","","","","BH-BV"
"EU-011","pneumatic system","Pneumatic System – Dryer #1 Mixers to Scalping Reel","15","tph","","","BH-FR"
"EU-012","scraping reel","Scalping Reel – Dryer #1","17.5","tph","","","BH-DC"
"EU-013","vacuum system","Vacuum System – Bldg 61","","","","","BH-BV"
"EU-014","conveyor system","Bin Conveyors","5.8","tph","","","BH-DC"
"EU-015","dryer","Dryer #1","21.5","tph","","","BH-FR"
"EU-016","pneumatic system","Pneumatic System – Bins to Blender/Loadout #1","25","tph","","","BH-FR"
"EU-018","pneumatic system","Pneumatic System – Bins to Blender/Loadout #1","25","tph","","","BH-FR"
"EU-019","blender","Blender #1","25","tph","","","BH-DC"
"EU-020","loadout system","Bulk Loadout #1","25","tph","","","BH-DC"
"EU-021","pneumatic system","Pneumatic System – Blender to Storage Bins","25","tph","","","BH-FR"
"EU-023","dryer","Dryer #2","17.5","tph","","","BH-DC"
"EU-025","pneumatic system","Pneumatic System – Loadout #3","17.5","tph","","","BH-FR"
"EU-026","loadout system","Bulk Loadout #3","20","tph","","","BH-DC"
"EU-030","dryer","Dryer #3 – Heating Zone – North","17.5","tph","","","BH-FR"
"EU-031","pneumatic system","Pneumatic System – Dryer #3 Mixers to Scalping Reel","25","tph","","","BH-FR"
"EU-032","scraping reel","Scalping Reel, Dryer #3","17.5","tph","","","BH-DC"
"EU-033","storage","Storage Bin #11","25","tph","","","BH-BV"
"EU-034","storage","Storage Bin #12","25","tph","","","BH-BV"
"EU-035","storage","Storage Bin #13","25","tph","","","BH-BV"
"EU-036","storage","Storage Bin #14","25","tph","","","BH-BV"
"EU-037","packaging system","Supersacker Packaging","20","tph","","","BH-DC"
"EU-038","pneumatic system","Pneumatic System – Loadout #2","17.5","tph","","","BH-FR"
"EU-039","loadout system","Bulk Loadout #2","17.5","tph","","","BH-DC"
"EU-042","dryer","Dryer #3 – Cooling Zone – South","17.5","tph","","","BH-FR"
"EU-056","pneumatic system","Pneumatic System – Bins to Packing","25","tph","","","BH-FR"
"EU-057","packaging system","Starch Packaging","20","tph","","","BH-DC"
"EU-058","pneumatic system","Pneumatic System – Bins to Packing","25","tph","","","BH-FR"
"EU-059","packaging system","Supersacker","20","tph","","","BH-DC"
"EU-060","storage","Surge Bin","20","tph","","","BH-BV"
"EU-061","loadout system","Bulk Loadout","25","tph","","","BH-DC"
"EU-088","fugitive emissions","Fugitive Emissions - Bldg 16","","","","",""
"EU-095","fugitive emissions","Ethanol Fugitives","","","","",""
"EU-105","pump system","Fire Pump","7.8","hp","","",""
"EU-106","vent system","Main Fermentation Vent","3.5","thousand scfm","","",""
"EU-108","storage","Stillage Tank","25","tph","","","BH-BV"
"EU-109","vent system","Distillation Vent","3.5","thousand scfm","","",""
"EU-110","vacuum pump","Vacuum Pump - Stillage Evaporator","3.5","thousand scfm","","",""
"EU-112","storage","Storage Tank - Off-Spec Ethanol","25","tph","","","BH-BV"
"EU-114","storage","Storage Tank - Anhydrous Ethanol","25","tph","","","BH-BV"
"EU-115","storage","Storage Tank - Denaturant","25","tph","","","BH-BV"
"EU-116","storage tank","Storage Tank - Condensate","3.5","thousand gallons","","",""
"EU-117","flare system","Flare","25.39","tph","","",""
"EU-128","scrubber system","Vacuum Scrubber - Dryer #6 (Evaporation Rate)","3.5","thousand scfm","","","BH-FR"
"EU-135","storage","Reslurry Tank","2","gallons","","",""
"EU-140","blower system","Gluten Blower DC Starch","6.1","tph","","",""
"EU-142","scrubber system","Vacuum Scrubber - Dryer #6 (Evaporation Rate)","3.5","thousand scfm","","","BH-FR"
"EU-143","storage","B Bin Starch","150","tph","","","BH-BV"
"EU-144","storage","C Bin Starch","150","tph","","","BH-BV"
"EU-146","scrubber system","Vacuum Scrubber - Dryer #12 (Evaporation Rate)","3.5","thousand scfm","","","BH-FR"
"EU-147","scrubber system","Vacuum Scrubber - Dryer #12 (Evaporation Rate)","3.5","thousand scfm","","","BH-FR"
"EU-148","scrubber system","Vacuum Scrubber - Dryer #12 (Evaporation Rate)","3.5","thousand scfm","","","BH-FR"
