"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"JES-001","boilers","Wood Fired Boiler","","","","","CE-JES-001"
"JES-002","dryers","Drying Oven","0.5","MMBtu/hr","","",""
"JES-003","dryers","Drying Oven","0.5","MMBtu/hr","","",""
"JES-004","dryers","Drying Oven","0.5","MMBtu/hr","","",""
"JES-005","spray_booths","Spray Booth","406","lb/hr","","","CE JES-005"
"JES-006","spray_booths","Spray Booth","406","lb/hr","","","CE JES-006"
"JES-007","spray_booths","Spray Booth","406","lb/hr","","","CE JES-007"
"JES-015","spray_booths","Spray Booth","13","gal/hr","","","CE JES-015"
"JES-016","spray_booths","Spray Booth","13","gal/hr","","","CE JES-016"
"JES-017","spray_booths","Spray Booth","13","gal/hr","","","CE JES-017"
"JES-018","spray_booths","Spray Booth","13","gal/hr","","","CE JES-018"
"JES-019","spray_booths","Spray Booth","6.24","gal/hr","","","CE JES-019"
"JES-020","spray_booths","Spray Booth","6.24","gal/hr","","","CE JES-020"
"JES-021","spray_booths","Venkajob Spray Machine","56.4","oz/min * guns","","","CE JES-021"
"JES-022","spray_booths","Lab Booth","32","oz/hr","","","CE JES-022"
